BLOCO;REGIÃO GEOGRÁFICA;PAÍS;ANO;PRODUÇÃO DE GÁS NATURAL
NÃO OPEP;Europa;Países Baixos (Holanda);2013;72,40555556
NÃO OPEP;Europa;Países Baixos (Holanda);2014;60,38611111
NÃO OPEP;Europa;Países Baixos (Holanda);2015;45,87222222
NÃO OPEP;Europa;Países Baixos (Holanda);2016;44,28611111
NÃO OPEP;Europa;Países Baixos (Holanda);2017;37,93055556
NÃO OPEP;Europa;Países Baixos (Holanda);2018;32,325
NÃO OPEP;Europa;Países Baixos (Holanda);2019;27,84444444
NÃO OPEP;Europa;Países Baixos (Holanda);2020;20,07222222
NÃO OPEP;Europa;Países Baixos (Holanda);2021;18,1
NÃO OPEP;Europa;Polônia;2012;4,5
NÃO OPEP;Europa;Polônia;2013;4,446305556
NÃO OPEP;Europa;Polônia;2014;4,333722222
NÃO OPEP;Europa;Polônia;2015;4,28325
NÃO OPEP;Europa;Polônia;2016;4,131805556
NÃO OPEP;Europa;Polônia;2017;4,04
NÃO OPEP;Europa;Polônia;2018;3,981305556
NÃO OPEP;Europa;Polônia;2019;3,985194444
NÃO OPEP;Europa;Polônia;2020;3,928777778
NÃO OPEP;Europa;Polônia;2021;3,870220631
NÃO OPEP;Europa;Reino Unido;2012;39,2
NÃO OPEP;Europa;Reino Unido;2013;36,98037975
NÃO OPEP;Europa;Reino Unido;2014;37,43151348
NÃO OPEP;Europa;Reino Unido;2015;40,66118312
NÃO OPEP;Europa;Reino Unido;2016;41,73818909
NÃO OPEP;Europa;Reino Unido;2017;41,88464821
NÃO OPEP;Europa;Reino Unido;2018;40,6389879
NÃO OPEP;Europa;Reino Unido;2019;39,1555827
NÃO OPEP;Europa;Reino Unido;2020;39,4667892
NÃO OPEP;Europa;Reino Unido;2021;32,6977488
NÃO OPEP;Europa;Romênia;2012;10,1
NÃO OPEP;Europa;Romênia;2013;10,0019
NÃO OPEP;Europa;Romênia;2014;10,1943
NÃO OPEP;Europa;Romênia;2015;10,217225
NÃO OPEP;Europa;Romênia;2016;9,052775
NÃO OPEP;Europa;Romênia;2017;10,01140103
NÃO OPEP;Europa;Romênia;2018;9,957649556
NÃO OPEP;Europa;Romênia;2019;9,622586639
NÃO OPEP;Europa;Romênia;2020;8,596321389
NÃO OPEP;Europa;Romênia;2021;8,464478834
NÃO OPEP;Europa;Ucrânia;2012;19,4
NÃO OPEP;Europa;Ucrânia;2013;20,15855457
NÃO OPEP;Europa;Ucrânia;2014;20,21912488
NÃO OPEP;Europa;Ucrânia;2015;18,83357915
NÃO OPEP;Europa;Ucrânia;2016;19,02286136
NÃO OPEP;Europa;Ucrânia;2017;19,40142576
NÃO OPEP;Europa;Ucrânia;2018;19,68534907
NÃO OPEP;Europa;Ucrânia;2019;19,40142576
NÃO OPEP;Europa;Ucrânia;2020;19,11750246
NÃO OPEP;Europa;Ucrânia;2021;18,58221239
NÃO OPEP;Europa;Outros;2012;8,4
NÃO OPEP;Europa;Outros;2013;7,15685051
NÃO OPEP;Europa;Outros;2014;6,331949103
NÃO OPEP;Europa;Outros;2015;6,076732875
NÃO OPEP;Europa;Outros;2016;8,678465242
NÃO OPEP;Europa;Outros;2017;8,984775629
NÃO OPEP;Europa;Outros;2018;8,446611799
NÃO OPEP;Europa;Outros;2019;7,402171185
NÃO OPEP;Europa;Outros;2020;6,284176469
NÃO OPEP;Europa;Outros;2021;5,357980073
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2012;16,8
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2013;17,47456515
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2014;18,3840775
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2015;18,7840525
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2016;18,27754
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2017;17,7586275
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2018;18,75573315
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2019;23,93821395
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2020;25,8648485
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2021;31,80831575
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2012;29
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2013;30,44556497
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2014;31,02613517
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2015;31,22555735
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2016;31,48427772
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2017;33,40299202
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2018;33,08130327
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2019;33,0718239
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2020;33,34448578
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2021;31,97420919
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2012;601,9
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2013;614,4962186
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2014;591,1551558
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2015;584,4395642
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2016;589,2753677
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2017;635,5608626
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2018;669,1129794
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2019;679,0448378
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2020;637,2942478
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2021;701,6674041
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2012;59
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2013;58,9614061
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2014;63,50417896
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2015;65,87020649
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2016;63,22025565
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2017;58,67748279
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2018;61,51671583
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2019;63,16318407
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2020;66,0146504
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2021;79,28359513
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2012;56,5
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2013;55,902
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2014;56,296625
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2015;53,61125
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2016;53,12399975
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2017;53,60680187
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2018;58,28515
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2019;57,45841077
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2020;47,10117257
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2021;50,91880531
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2012;0,3
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2013;0,339607719
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2014;0,331304744
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2015;0,335581385
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2016;0,319378013
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2017;0,300385933
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2018;0,310394757
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2019;0,316578397
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2020;0,315913706
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2021;0,331254243
OPEP;Oriente Médio;Arábia Saudita;2012;94,4
OPEP;Oriente Médio;Arábia Saudita;2013;95,0285
OPEP;Oriente Médio;Arábia Saudita;2014;97,261
OPEP;Oriente Médio;Arábia Saudita;2015;99,2275
OPEP;Oriente Médio;Arábia Saudita;2016;105,317
OPEP;Oriente Médio;Arábia Saudita;2017;109,250209
OPEP;Oriente Médio;Arábia Saudita;2018;112,1
OPEP;Oriente Médio;Arábia Saudita;2019;111,15
OPEP;Oriente Médio;Arábia Saudita;2020;113,05
OPEP;Oriente Médio;Arábia Saudita;2021;117,2869842
NÃO OPEP;Oriente Médio;Bahrein;2012;13,1
NÃO OPEP;Oriente Médio;Bahrein;2013;13,95782985
NÃO OPEP;Oriente Médio;Bahrein;2014;14,69652479
NÃO OPEP;Oriente Médio;Bahrein;2015;14,5843455
NÃO OPEP;Oriente Médio;Bahrein;2016;14,44137102
NÃO OPEP;Oriente Médio;Bahrein;2017;14,46632305
NÃO OPEP;Oriente Médio;Bahrein;2018;14,64745614
NÃO OPEP;Oriente Médio;Bahrein;2019;16,26596319
NÃO OPEP;Oriente Médio;Bahrein;2020;16,43668088
NÃO OPEP;Oriente Médio;Bahrein;2021;17,22824947
NÃO OPEP;Oriente Médio;Catar;2012;162,5
NÃO OPEP;Oriente Médio;Catar;2013;167,8892136
NÃO OPEP;Oriente Médio;Catar;2014;169,4252278
NÃO OPEP;Oriente Médio;Catar;2015;175,8644834
NÃO OPEP;Oriente Médio;Catar;2016;174,7685567
NÃO OPEP;Oriente Médio;Catar;2017;170,5358809
NÃO OPEP;Oriente Médio;Catar;2018;175,2028791
NÃO OPEP;Oriente Médio;Catar;2019;177,1524655
NÃO OPEP;Oriente Médio;Catar;2020;174,9348378
NÃO OPEP;Oriente Médio;Catar;2021;176,9803994
OPEP;Oriente Médio;Coveite;2012;14,7
OPEP;Oriente Médio;Coveite;2013;15,4956386
OPEP;Oriente Médio;Coveite;2014;14,27733727
OPEP;Oriente Médio;Coveite;2015;16,06355
OPEP;Oriente Médio;Coveite;2016;16,42645
OPEP;Oriente Médio;Coveite;2017;16,24664025
OPEP;Oriente Médio;Coveite;2018;16,85089128
OPEP;Oriente Médio;Coveite;2019;18,15461126
OPEP;Oriente Médio;Coveite;2020;16,47039636
OPEP;Oriente Médio;Coveite;2021;17,39345331
OPEP;Oriente Médio;Emirados Árabes Unidos;2012;52,9
OPEP;Oriente Médio;Emirados Árabes Unidos;2013;53,235
OPEP;Oriente Médio;Emirados Árabes Unidos;2014;52,8884788
OPEP;Oriente Médio;Emirados Árabes Unidos;2015;58,59873522
OPEP;Oriente Médio;Emirados Árabes Unidos;2016;59,52082212
OPEP;Oriente Médio;Emirados Árabes Unidos;2017;59,5366876
OPEP;Oriente Médio;Emirados Árabes Unidos;2018;58,08232917
OPEP;Oriente Médio;Emirados Árabes Unidos;2019;57,51650972
OPEP;Oriente Médio;Emirados Árabes Unidos;2020;55,44491459
OPEP;Oriente Médio;Emirados Árabes Unidos;2021;56,99416559
NÃO OPEP;Oriente Médio;Iêmen;2012;7,6
NÃO OPEP;Oriente Médio;Iêmen;2013;10,352975
NÃO OPEP;Oriente Médio;Iêmen;2014;9,761675
NÃO OPEP;Oriente Médio;Iêmen;2015;2,85635
NÃO OPEP;Oriente Médio;Iêmen;2016;0,501125
NÃO OPEP;Oriente Médio;Iêmen;2017;0,3006675
NÃO OPEP;Oriente Médio;Iêmen;2018;0,099001916
NÃO OPEP;Oriente Médio;Iêmen;2019;0,3006675
NÃO OPEP;Oriente Médio;Iêmen;2020;0,306435346
NÃO OPEP;Oriente Médio;Iêmen;2021;0,39775
OPEP;Oriente Médio;Irã;2012;156,9
OPEP;Oriente Médio;Irã;2013;157,5280547
OPEP;Oriente Médio;Irã;2014;175,4506034
OPEP;Oriente Médio;Irã;2015;183,5478963
OPEP;Oriente Médio;Irã;2016;199,3419198
OPEP;Oriente Médio;Irã;2017;213,8500704
OPEP;Oriente Médio;Irã;2018;224,8989843
OPEP;Oriente Médio;Irã;2019;232,9000885
OPEP;Oriente Médio;Irã;2020;249,5302292
OPEP;Oriente Médio;Irã;2021;256,6501656
OPEP;Oriente Médio;Iraque;2012;6,3
OPEP;Oriente Médio;Iraque;2013;7,072655
OPEP;Oriente Médio;Iraque;2014;7,5308343
OPEP;Oriente Médio;Iraque;2015;7,30109675
OPEP;Oriente Médio;Iraque;2016;9,8955781
OPEP;Oriente Médio;Iraque;2017;10,11779839
OPEP;Oriente Médio;Iraque;2018;10,57373556
OPEP;Oriente Médio;Iraque;2019;10,96685384
OPEP;Oriente Médio;Iraque;2020;7,005353842
OPEP;Oriente Médio;Iraque;2021;9,354809425
NÃO OPEP;Oriente Médio;Omã;2012;28,3
NÃO OPEP;Oriente Médio;Omã;2013;30,78590212
NÃO OPEP;Oriente Médio;Omã;2014;29,34907975
NÃO OPEP;Oriente Médio;Omã;2015;30,74711788
NÃO OPEP;Oriente Médio;Omã;2016;31,47750298
NÃO OPEP;Oriente Médio;Omã;2017;32,32341395
NÃO OPEP;Oriente Médio;Omã;2018;36,33264798
NÃO OPEP;Oriente Médio;Omã;2019;36,69019464
NÃO OPEP;Oriente Médio;Omã;2020;36,93040495
NÃO OPEP;Oriente Médio;Omã;2021;41,79221508
NÃO OPEP;Oriente Médio;Síria;2012;6,1
NÃO OPEP;Oriente Médio;Síria;2013;4,99525
NÃO OPEP;Oriente Médio;Síria;2014;4,61825
NÃO OPEP;Oriente Médio;Síria;2015;4,05275
NÃO OPEP;Oriente Médio;Síria;2016;3,534375
NÃO OPEP;Oriente Médio;Síria;2017;3,48725
NÃO OPEP;Oriente Médio;Síria;2018;3,4684
NÃO OPEP;Oriente Médio;Síria;2019;3,327025
NÃO OPEP;Oriente Médio;Síria;2020;2,7417325
NÃO OPEP;Oriente Médio;Síria;2021;2,87813217
NÃO OPEP;Oriente Médio;Outros;2012;2,5
NÃO OPEP;Oriente Médio;Outros;2013;6,251307694
NÃO OPEP;Oriente Médio;Outros;2014;7,331103186
NÃO OPEP;Oriente Médio;Outros;2015;8,066355245
NÃO OPEP;Oriente Médio;Outros;2016;9,0474506
NÃO OPEP;Oriente Médio;Outros;2017;9,5329801
NÃO OPEP;Oriente Médio;Outros;2018;10,1321977
NÃO OPEP;Oriente Médio;Outros;2019;10,14008847
NÃO OPEP;Oriente Médio;Outros;2020;14,9679054
NÃO OPEP;Oriente Médio;Outros;2021;17,8951606
OPEP;África;Argélia;2012;78,4
OPEP;África;Argélia;2013;79,338875
OPEP;África;Argélia;2014;80,1724
OPEP;África;Argélia;2015;81,4111375
OPEP;África;Argélia;2016;91,3922625
OPEP;África;Argélia;2017;92,9765375
OPEP;África;Argélia;2018;93,84375
OPEP;África;Argélia;2019;86,95225
OPEP;África;Argélia;2020;81,456375
OPEP;África;Argélia;2021;100,77375
NÃO OPEP;África;Egito;2012;58,6
NÃO OPEP;África;Egito;2013;53,96483689
NÃO OPEP;África;Egito;2014;46,96104875
NÃO OPEP;África;Egito;2015;42,590625
NÃO OPEP;África;Egito;2016;40,25175
NÃO OPEP;África;Egito;2017;48,81264868
NÃO OPEP;África;Egito;2018;58,55832658
NÃO OPEP;África;Egito;2019;64,93869671
NÃO OPEP;África;Egito;2020;58,46543212
NÃO OPEP;África;Egito;2021;67,79943055
OPEP;África;Líbia;2012;11,6
OPEP;África;Líbia;2013;12,16
OPEP;África;Líbia;2014;11,8275
OPEP;África;Líbia;2015;14,71835
OPEP;África;Líbia;2016;14,79195
OPEP;África;Líbia;2017;13,5938
OPEP;África;Líbia;2018;13,185975
OPEP;África;Líbia;2019;13,48018623
OPEP;África;Líbia;2020;12,09841965
OPEP;África;Líbia;2021;12,39690748
OPEP;África;Nigéria;2012;39,2
OPEP;África;Nigéria;2013;33,09957084
OPEP;África;Nigéria;2014;39,98253332
OPEP;África;Nigéria;2015;47,56528542
OPEP;África;Nigéria;2016;42,63702085
OPEP;África;Nigéria;2017;47,20561895
OPEP;África;Nigéria;2018;48,2695538
OPEP;África;Nigéria;2019;49,27914861
OPEP;África;Nigéria;2020;49,4311393
OPEP;África;Nigéria;2021;45,91332366
NÃO OPEP;África;Outros;2012;18,9
NÃO OPEP;África;Outros;2013;20,49665864
NÃO OPEP;África;Outros;2014;20,66265786
NÃO OPEP;África;Outros;2015;21,75252223
NÃO OPEP;África;Outros;2016;22,76738226
NÃO OPEP;África;Outros;2017;26,89196289
NÃO OPEP;África;Outros;2018;27,85767266
NÃO OPEP;África;Outros;2019;28,28513538
NÃO OPEP;África;Outros;2020;29,75133136
NÃO OPEP;África;Outros;2021;30,64124969
NÃO OPEP;Ásia-Pacífico;Austrália;2012;58
NÃO OPEP;Ásia-Pacífico;Austrália;2013;60,25001935
NÃO OPEP;Ásia-Pacífico;Austrália;2014;64,92760796
NÃO OPEP;Ásia-Pacífico;Austrália;2015;74,0985192
NÃO OPEP;Ásia-Pacífico;Austrália;2016;93,9979286
NÃO OPEP;Ásia-Pacífico;Austrália;2017;110,1246272
NÃO OPEP;Ásia-Pacífico;Austrália;2018;127,4018597
NÃO OPEP;Ásia-Pacífico;Austrália;2019;146,1142893
NÃO OPEP;Ásia-Pacífico;Austrália;2020;145,950597
NÃO OPEP;Ásia-Pacífico;Austrália;2021;147,2188975
NÃO OPEP;Ásia-Pacífico;Bangladesh;2012;21,3
NÃO OPEP;Ásia-Pacífico;Bangladesh;2013;21,95278663
NÃO OPEP;Ásia-Pacífico;Bangladesh;2014;23,02227158
NÃO OPEP;Ásia-Pacífico;Bangladesh;2015;25,85406276
NÃO OPEP;Ásia-Pacífico;Bangladesh;2016;26,45094657
NÃO OPEP;Ásia-Pacífico;Bangladesh;2017;26,5926724
NÃO OPEP;Ásia-Pacífico;Bangladesh;2018;26,58177041
NÃO OPEP;Ásia-Pacífico;Bangladesh;2019;25,28443393
NÃO OPEP;Ásia-Pacífico;Bangladesh;2020;23,73090075
NÃO OPEP;Ásia-Pacífico;Bangladesh;2021;24,14277526
NÃO OPEP;Ásia-Pacífico;Brunei;2012;12,3
NÃO OPEP;Ásia-Pacífico;Brunei;2013;11,90131371
NÃO OPEP;Ásia-Pacífico;Brunei;2014;12,68814642
