BLOCO;REGIÃO GEOGRÁFICA;PAÍS;ANO;RESERVAS PROVADAS DE GÁS NATURAL
NÃO OPEP;Américas Central e do Sul;Brasil;2020;0,33881885
NÃO OPEP;Américas Central e do Sul;Colômbia;2011;0,15
NÃO OPEP;Américas Central e do Sul;Colômbia;2012;0,156089202
NÃO OPEP;Américas Central e do Sul;Colômbia;2013;0,150120364
NÃO OPEP;Américas Central e do Sul;Colômbia;2014;0,129706393
NÃO OPEP;Américas Central e do Sul;Colômbia;2015;0,118858916
NÃO OPEP;Américas Central e do Sul;Colômbia;2016;0,109665108
NÃO OPEP;Américas Central e do Sul;Colômbia;2017;0,106185356
NÃO OPEP;Américas Central e do Sul;Colômbia;2018;0,103078289
NÃO OPEP;Américas Central e do Sul;Colômbia;2019;0,086207464
NÃO OPEP;Américas Central e do Sul;Colômbia;2020;0,086207464
NÃO OPEP;Américas Central e do Sul;Peru;2011;0,35
NÃO OPEP;Américas Central e do Sul;Peru;2012;0,41907239
NÃO OPEP;Américas Central e do Sul;Peru;2013;0,410105505
NÃO OPEP;Américas Central e do Sul;Peru;2014;0,398631164
NÃO OPEP;Américas Central e do Sul;Peru;2015;0,383749951
NÃO OPEP;Américas Central e do Sul;Peru;2016;0,438532437
NÃO OPEP;Américas Central e do Sul;Peru;2017;0,350907715
NÃO OPEP;Américas Central e do Sul;Peru;2018;0,289011682
NÃO OPEP;Américas Central e do Sul;Peru;2019;0,275597188
NÃO OPEP;Américas Central e do Sul;Peru;2020;0,261442131
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2011;0,37
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2012;0,360914819
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2013;0,337066792
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2014;0,316771186
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2015;0,316771186
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2016;0,291904248
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2017;0,309528656
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2018;0,273178315
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2019;0,289563507
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2020;0,289866426
OPEP;Américas Central e do Sul;Venezuela;2011;6,14
OPEP;Américas Central e do Sul;Venezuela;2012;6,173343726
OPEP;Américas Central e do Sul;Venezuela;2013;6,194843011
OPEP;Américas Central e do Sul;Venezuela;2014;6,23504416
OPEP;Américas Central e do Sul;Venezuela;2015;6,328742068
OPEP;Américas Central e do Sul;Venezuela;2016;6,371143436
OPEP;Américas Central e do Sul;Venezuela;2017;6,336411404
OPEP;Américas Central e do Sul;Venezuela;2018;6,296571217
OPEP;Américas Central e do Sul;Venezuela;2019;6,260173406
OPEP;Américas Central e do Sul;Venezuela;2020;6,260173406
NÃO OPEP;Américas Central e do Sul;Outros;2011;0,06
NÃO OPEP;Américas Central e do Sul;Outros;2012;0,0585469
NÃO OPEP;Américas Central e do Sul;Outros;2013;0,057165
NÃO OPEP;Américas Central e do Sul;Outros;2014;0,06073935
NÃO OPEP;Américas Central e do Sul;Outros;2015;0,05976435
NÃO OPEP;Américas Central e do Sul;Outros;2016;0,05878935
NÃO OPEP;Américas Central e do Sul;Outros;2017;0,053599912
NÃO OPEP;Américas Central e do Sul;Outros;2018;0,053304824
NÃO OPEP;Américas Central e do Sul;Outros;2019;0,053304824
NÃO OPEP;Américas Central e do Sul;Outros;2020;0,052823574
NÃO OPEP;Europa;Alemanha;2011;0,07
NÃO OPEP;Europa;Alemanha;2012;0,062425188
NÃO OPEP;Europa;Alemanha;2013;0,05495175
NÃO OPEP;Europa;Alemanha;2014;0,045016474
NÃO OPEP;Europa;Alemanha;2015;0,040796179
NÃO OPEP;Europa;Alemanha;2016;0,037015499
NÃO OPEP;Europa;Alemanha;2017;0,032619359
NÃO OPEP;Europa;Alemanha;2018;0,026640608
NÃO OPEP;Europa;Alemanha;2019;0,021804854
NÃO OPEP;Europa;Alemanha;2020;0,019659538
NÃO OPEP;Europa;Dinamarca;2011;0,04
NÃO OPEP;Europa;Dinamarca;2012;0,039572577
NÃO OPEP;Europa;Dinamarca;2013;0,037985591
NÃO OPEP;Europa;Dinamarca;2014;0,03643368
NÃO OPEP;Europa;Dinamarca;2015;0,017744148
NÃO OPEP;Europa;Dinamarca;2016;0,013568028
NÃO OPEP;Europa;Dinamarca;2017;0,028196104
NÃO OPEP;Europa;Dinamarca;2018;0,029189525
NÃO OPEP;Europa;Dinamarca;2019;0,029640901
NÃO OPEP;Europa;Dinamarca;2020;0,028027957
NÃO OPEP;Europa;Itália;2011;0,06
NÃO OPEP;Europa;Itália;2012;0,056602313
NÃO OPEP;Europa;Itália;2013;0,053533358
NÃO OPEP;Europa;Itália;2014;0,051161633
NÃO OPEP;Europa;Itália;2015;0,046788705
NÃO OPEP;Europa;Itália;2016;0,036303585
NÃO OPEP;Europa;Itália;2017;0,04256151
NÃO OPEP;Europa;Itália;2018;0,046176248
NÃO OPEP;Europa;Itália;2019;0,043600688
NÃO OPEP;Europa;Itália;2020;0,04239768
NÃO OPEP;Europa;Noruega;2011;2,05
NÃO OPEP;Europa;Noruega;2012;2,074325
NÃO OPEP;Europa;Noruega;2013;2,0336325
NÃO OPEP;Europa;Noruega;2014;1,907585
NÃO OPEP;Europa;Noruega;2015;1,84297325
NÃO OPEP;Europa;Noruega;2016;1,7501745
NÃO OPEP;Europa;Noruega;2017;1,71617145
NÃO OPEP;Europa;Noruega;2018;1,609308975
NÃO OPEP;Europa;Noruega;2019;1,53267805
NÃO OPEP;Europa;Noruega;2020;1,42918015
NÃO OPEP;Europa;Países Baixos (Holanda);2011;1,09
NÃO OPEP;Europa;Países Baixos (Holanda);2012;0,8441054
NÃO OPEP;Europa;Países Baixos (Holanda);2013;0,79284036
NÃO OPEP;Europa;Países Baixos (Holanda);2014;0,70622012
NÃO OPEP;Europa;Países Baixos (Holanda);2015;0,729201
NÃO OPEP;Europa;Países Baixos (Holanda);2016;0,6540712
NÃO OPEP;Europa;Países Baixos (Holanda);2017;0,6142966
NÃO OPEP;Europa;Países Baixos (Holanda);2018;0,17324048
NÃO OPEP;Europa;Países Baixos (Holanda);2019;0,12993036
NÃO OPEP;Europa;Países Baixos (Holanda);2020;0,12993036
NÃO OPEP;Europa;Polônia;2011;0,08
NÃO OPEP;Europa;Polônia;2012;0,075903617
NÃO OPEP;Europa;Polônia;2013;0,072474842
NÃO OPEP;Europa;Polônia;2014;0,069704936
NÃO OPEP;Europa;Polônia;2015;0,066877867
NÃO OPEP;Europa;Polônia;2016;0,065391685
NÃO OPEP;Europa;Polônia;2017;0,063697845
NÃO OPEP;Europa;Polônia;2018;0,072251532
NÃO OPEP;Europa;Polônia;2019;0,072260086
NÃO OPEP;Europa;Polônia;2020;0,072260086
NÃO OPEP;Europa;Reino Unido;2011;0,24
NÃO OPEP;Europa;Reino Unido;2012;0,24278
NÃO OPEP;Europa;Reino Unido;2013;0,239795
NÃO OPEP;Europa;Reino Unido;2014;0,20497
NÃO OPEP;Europa;Reino Unido;2015;0,205965
NÃO OPEP;Europa;Reino Unido;2016;0,183957644
NÃO OPEP;Europa;Reino Unido;2017;0,186979343
NÃO OPEP;Europa;Reino Unido;2018;0,186979343
NÃO OPEP;Europa;Reino Unido;2019;0,186979343
NÃO OPEP;Europa;Reino Unido;2020;0,186979343
NÃO OPEP;Europa;Romênia;2011;0,11
NÃO OPEP;Europa;Romênia;2012;0,1161225
NÃO OPEP;Europa;Romênia;2013;0,110175
NÃO OPEP;Europa;Romênia;2014;0,106275
NÃO OPEP;Europa;Romênia;2015;0,100425
NÃO OPEP;Europa;Romênia;2016;0,09692475
NÃO OPEP;Europa;Romênia;2017;0,08959275
NÃO OPEP;Europa;Romênia;2018;0,084825
NÃO OPEP;Europa;Romênia;2019;0,07886775
NÃO OPEP;Europa;Romênia;2020;0,07886775
NÃO OPEP;Europa;Ucrânia;2011;0,73
NÃO OPEP;Europa;Ucrânia;2012;1,165016509
NÃO OPEP;Europa;Ucrânia;2013;1,13724023
NÃO OPEP;Europa;Ucrânia;2014;1,13823224
NÃO OPEP;Europa;Ucrânia;2015;1,06958515
NÃO OPEP;Europa;Ucrânia;2016;1,050141754
NÃO OPEP;Europa;Ucrânia;2017;1,031690369
NÃO OPEP;Europa;Ucrânia;2018;1,091210967
NÃO OPEP;Europa;Ucrânia;2019;1,091210967
NÃO OPEP;Europa;Ucrânia;2020;1,091210967
NÃO OPEP;Europa;Outros;2011;0,13
NÃO OPEP;Europa;Outros;2012;0,123705305
NÃO OPEP;Europa;Outros;2013;0,11830326
NÃO OPEP;Europa;Outros;2014;0,112516017
NÃO OPEP;Europa;Outros;2015;0,106946927
NÃO OPEP;Europa;Outros;2016;0,101285265
NÃO OPEP;Europa;Outros;2017;0,097189537
NÃO OPEP;Europa;Outros;2018;0,093566592
NÃO OPEP;Europa;Outros;2019;0,089987328
NÃO OPEP;Europa;Outros;2020;0,090268283
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2011;1,02
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2012;1,02092305
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2013;0,000945809
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2014;1,339218438
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2015;1,318744791
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2016;1,318744791
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2017;1,318744791
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2018;2,094893158
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2019;2,503652799
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;2020;2,503652799
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2011;1,71
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2012;1,713232207
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2013;1,713232207
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2014;1,713232207
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2015;1,713232207
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2016;2,257115447
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2017;2,257115447
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2018;2,257115447
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2019;2,257115447
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;2020;2,257115447
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2011;34,46
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2012;34,64007103
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2013;34,94399692
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2014;35,04905893
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2015;34,95739983
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2016;34,83325247
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2017;37,88823465
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2018;37,64098801
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2019;37,55674101
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;2020;37,39152435
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2011;13,6
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2012;13,60125
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2013;13,60125
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2014;13,60125
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2015;13,60125
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2016;13,60125
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2017;13,60125
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2018;13,60125
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2019;13,60125
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;2020;13,60125
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2011;0,87
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2012;0,845325
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2013;0,845325
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2014;0,845325
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2015;0,845325
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2016;0,845325
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2017;0,845325
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2018;0,845325
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2019;0,845325
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;2020;0,845325
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2011;0
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2012;0,004584105
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2013;0,003826886
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2014;0,003566172
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2015;0,003298546
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2016;0,003254544
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2017;0,003182872
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2018;0,003089058
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2019;0,002982481
NÃO OPEP;Comunidade dos Estados Independentes;Outros;2020;0,002860657
OPEP;Oriente Médio;Arábia Saudita;2011;7,6
OPEP;Oriente Médio;Arábia Saudita;2012;7,661406936
OPEP;Oriente Médio;Arábia Saudita;2013;7,758250563
OPEP;Oriente Médio;Arábia Saudita;2014;7,908896205
OPEP;Oriente Médio;Arábia Saudita;2015;8,005739832
OPEP;Oriente Médio;Arábia Saudita;2016;8,03533094
OPEP;Oriente Médio;Arábia Saudita;2017;5,65104268
OPEP;Oriente Médio;Arábia Saudita;2018;5,892755976
OPEP;Oriente Médio;Arábia Saudita;2019;5,984545835
OPEP;Oriente Médio;Arábia Saudita;2020;6,019120015
NÃO OPEP;Oriente Médio;Bahrein;2011;0,21
NÃO OPEP;Oriente Médio;Bahrein;2012;0,189356192
NÃO OPEP;Oriente Médio;Bahrein;2013;0,180988914
NÃO OPEP;Oriente Médio;Bahrein;2014;0,172200845
NÃO OPEP;Oriente Médio;Bahrein;2015;0,163461328
NÃO OPEP;Oriente Médio;Bahrein;2016;0,173789924
NÃO OPEP;Oriente Médio;Bahrein;2017;0,182469534
NÃO OPEP;Oriente Médio;Bahrein;2018;0,182926851
NÃO OPEP;Oriente Médio;Bahrein;2019;0,077313496
NÃO OPEP;Oriente Médio;Bahrein;2020;0,064831428
NÃO OPEP;Oriente Médio;Catar;2011;25,92
NÃO OPEP;Oriente Médio;Catar;2012;25,75874825
NÃO OPEP;Oriente Médio;Catar;2013;25,54186949
NÃO OPEP;Oriente Médio;Catar;2014;25,38653741
NÃO OPEP;Oriente Médio;Catar;2015;25,14953271
NÃO OPEP;Oriente Médio;Catar;2016;24,91503823
NÃO OPEP;Oriente Médio;Catar;2017;24,696135
NÃO OPEP;Oriente Médio;Catar;2018;24,68096614
NÃO OPEP;Oriente Médio;Catar;2019;24,66547147
NÃO OPEP;Oriente Médio;Catar;2020;24,66547147
OPEP;Oriente Médio;Coveite;2011;1,69
OPEP;Oriente Médio;Coveite;2012;1,6948
OPEP;Oriente Médio;Coveite;2013;1,6948
OPEP;Oriente Médio;Coveite;2014;1,6948
OPEP;Oriente Médio;Coveite;2015;1,6948
OPEP;Oriente Médio;Coveite;2016;1,6948
OPEP;Oriente Médio;Coveite;2017;1,6948
OPEP;Oriente Médio;Coveite;2018;1,6948
OPEP;Oriente Médio;Coveite;2019;1,6948
OPEP;Oriente Médio;Coveite;2020;1,6948
OPEP;Oriente Médio;Emirados Árabes Unidos;2011;5,94
OPEP;Oriente Médio;Emirados Árabes Unidos;2012;5,938725
OPEP;Oriente Médio;Emirados Árabes Unidos;2013;5,938725
OPEP;Oriente Médio;Emirados Árabes Unidos;2014;5,938725
OPEP;Oriente Médio;Emirados Árabes Unidos;2015;5,938725
OPEP;Oriente Médio;Emirados Árabes Unidos;2016;5,938725
OPEP;Oriente Médio;Emirados Árabes Unidos;2017;5,938725
OPEP;Oriente Médio;Emirados Árabes Unidos;2018;5,938725
OPEP;Oriente Médio;Emirados Árabes Unidos;2019;5,938725
OPEP;Oriente Médio;Emirados Árabes Unidos;2020;5,938725
NÃO OPEP;Oriente Médio;Iêmen;2011;0,3
NÃO OPEP;Oriente Médio;Iêmen;2012;0,294601786
NÃO OPEP;Oriente Médio;Iêmen;2013;0,281657005
NÃO OPEP;Oriente Médio;Iêmen;2014;0,269527745
NÃO OPEP;Oriente Médio;Iêmen;2015;0,266937535
NÃO OPEP;Oriente Médio;Iêmen;2016;0,266435157
NÃO OPEP;Oriente Médio;Iêmen;2017;0,266133738
NÃO OPEP;Oriente Médio;Iêmen;2018;0,266033265
NÃO OPEP;Oriente Médio;Iêmen;2019;0,265932792
NÃO OPEP;Oriente Médio;Iêmen;2020;0,26583103
OPEP;Oriente Médio;Irã;2011;32,78
OPEP;Oriente Médio;Irã;2012;31,90521
OPEP;Oriente Médio;Irã;2013;32,13189
OPEP;Oriente Médio;Irã;2014;32,13189
OPEP;Oriente Médio;Irã;2015;31,64075
OPEP;Oriente Médio;Irã;2016;31,84971968
OPEP;Oriente Médio;Irã;2017;31,933545
OPEP;Oriente Médio;Irã;2018;32,01736824
OPEP;Oriente Médio;Irã;2019;32,10137859
OPEP;Oriente Médio;Irã;2020;32,10137859
OPEP;Oriente Médio;Iraque;2011;3
OPEP;Oriente Médio;Iraque;2012;3,0001
OPEP;Oriente Médio;Iraque;2013;3,0001
OPEP;Oriente Médio;Iraque;2014;3,0001
OPEP;Oriente Médio;Iraque;2015;3,0001
OPEP;Oriente Médio;Iraque;2016;3,628905
OPEP;Oriente Médio;Iraque;2017;3,556914
OPEP;Oriente Médio;Iraque;2018;3,5428825
OPEP;Oriente Médio;Iraque;2019;3,52852591
OPEP;Oriente Médio;Iraque;2020;3,52852591
NÃO OPEP;Oriente Médio;Israel;2011;0,2
NÃO OPEP;Oriente Médio;Israel;2012;0,19695
NÃO OPEP;Oriente Médio;Israel;2013;0,187193269
NÃO OPEP;Oriente Médio;Israel;2014;0,182436038
NÃO OPEP;Oriente Médio;Israel;2015;0,173978726
NÃO OPEP;Oriente Médio;Israel;2016;0,165948939
NÃO OPEP;Oriente Médio;Israel;2017;0,455690433
NÃO OPEP;Oriente Médio;Israel;2018;0,412363039
NÃO OPEP;Oriente Médio;Israel;2019;0,566705022
NÃO OPEP;Oriente Médio;Israel;2020;0,588557743
NÃO OPEP;Oriente Médio;Omã;2011;0,49
NÃO OPEP;Oriente Médio;Omã;2012;0,475591407
NÃO OPEP;Oriente Médio;Omã;2013;0,664813801
NÃO OPEP;Oriente Médio;Omã;2014;0,6644625
NÃO OPEP;Oriente Médio;Omã;2015;0,6644625
NÃO OPEP;Oriente Médio;Omã;2016;0,6644625
NÃO OPEP;Oriente Médio;Omã;2017;0,6644625
NÃO OPEP;Oriente Médio;Omã;2018;0,6663475
NÃO OPEP;Oriente Médio;Omã;2019;0,6663475
NÃO OPEP;Oriente Médio;Omã;2020;0,6663475
NÃO OPEP;Oriente Médio;Síria;2011;0,28
NÃO OPEP;Oriente Médio;Síria;2012;0,2686125
NÃO OPEP;Oriente Médio;Síria;2013;0,277875
NÃO OPEP;Oriente Médio;Síria;2014;0,2686125
NÃO OPEP;Oriente Médio;Síria;2015;0,2686125
NÃO OPEP;Oriente Médio;Síria;2016;0,2686125
NÃO OPEP;Oriente Médio;Síria;2017;0,2686125
NÃO OPEP;Oriente Médio;Síria;2018;0,2686125
NÃO OPEP;Oriente Médio;Síria;2019;0,2686125
NÃO OPEP;Oriente Médio;Síria;2020;0,2686125
NÃO OPEP;Oriente Médio;Outros;2011;0,01
NÃO OPEP;Oriente Médio;Outros;2012;0,004695
NÃO OPEP;Oriente Médio;Outros;2013;0,00585
NÃO OPEP;Oriente Médio;Outros;2014;0,00471964
NÃO OPEP;Oriente Médio;Outros;2015;0,00471964
NÃO OPEP;Oriente Médio;Outros;2016;0,00471964
NÃO OPEP;Oriente Médio;Outros;2017;0,00471964
NÃO OPEP;Oriente Médio;Outros;2018;0,00471964
NÃO OPEP;Oriente Médio;Outros;2019;0,00471964
NÃO OPEP;Oriente Médio;Outros;2020;0,00471964
OPEP;África;Argélia;2011;4,34
OPEP;África;Argélia;2012;4,3350117
OPEP;África;Argélia;2013;4,3350117
OPEP;África;Argélia;2014;4,3351
OPEP;África;Argélia;2015;4,3351
OPEP;África;Argélia;2016;4,3351
OPEP;África;Argélia;2017;4,3351
OPEP;África;Argélia;2018;4,3351
OPEP;África;Argélia;2019;4,3351
OPEP;África;Argélia;2020;2,2792
NÃO OPEP;África;Egito;2011;2,11
NÃO OPEP;África;Egito;2012;2,1030625
NÃO OPEP;África;Egito;2013;2,1030625
NÃO OPEP;África;Egito;2014;2,104025
NÃO OPEP;África;Egito;2015;2,007775
NÃO OPEP;África;Egito;2016;2,1377125
NÃO OPEP;África;Egito;2017;2,1377125
NÃO OPEP;África;Egito;2018;2,1377125
NÃO OPEP;África;Egito;2019;2,1377125
NÃO OPEP;África;Egito;2020;2,1377125
OPEP;África;Líbia;2011;1,47
OPEP;África;Líbia;2012;1,47155
OPEP;África;Líbia;2013;1,4307
OPEP;África;Líbia;2014;1,429655
OPEP;África;Líbia;2015;1,429654489
OPEP;África;Líbia;2016;1,429654489
OPEP;África;Líbia;2017;1,429654489
OPEP;África;Líbia;2018;1,429654489
OPEP;África;Líbia;2019;1,429654489
OPEP;África;Líbia;2020;1,429654489
OPEP;África;Nigéria;2011;4,92
OPEP;África;Nigéria;2012;4,862461059
OPEP;África;Nigéria;2013;4,851699235
OPEP;África;Nigéria;2014;5,057788162
OPEP;África;Nigéria;2015;5,020063966
OPEP;África;Nigéria;2016;5,201444082
OPEP;África;Nigéria;2017;5,3455265
OPEP;África;Nigéria;2018;5,391247492
OPEP;África;Nigéria;2019;5,47297945
OPEP;África;Nigéria;2020;5,47297945
NÃO OPEP;África;Outros;2011;1,27
NÃO OPEP;África;Outros;2012;1,260505377
NÃO OPEP;África;Outros;2013;1,246912711
NÃO OPEP;África;Outros;2014;1,210609619
NÃO OPEP;África;Outros;2015;1,192712068
NÃO OPEP;África;Outros;2016;1,315092633
NÃO OPEP;África;Outros;2017;1,288250761
NÃO OPEP;África;Outros;2018;1,302738575
NÃO OPEP;África;Outros;2019;1,571055811
NÃO OPEP;África;Outros;2020;1,569011249
NÃO OPEP;Ásia-Pacífico;Austrália;2011;2,81
NÃO OPEP;Ásia-Pacífico;Austrália;2012;2,81943563
NÃO OPEP;Ásia-Pacífico;Austrália;2013;2,820378269
NÃO OPEP;Ásia-Pacífico;Austrália;2014;2,386109117
NÃO OPEP;Ásia-Pacífico;Austrália;2015;2,389595504
NÃO OPEP;Ásia-Pacífico;Austrália;2016;2,389595504
NÃO OPEP;Ásia-Pacífico;Austrália;2017;2,389595504
NÃO OPEP;Ásia-Pacífico;Austrália;2018;2,389595504
NÃO OPEP;Ásia-Pacífico;Austrália;2019;2,389595504
NÃO OPEP;Ásia-Pacífico;Austrália;2020;2,389595504
NÃO OPEP;Ásia-Pacífico;Bangladesh;2011;0,34
NÃO OPEP;Ásia-Pacífico;Bangladesh;2012;0,265375901
NÃO OPEP;Ásia-Pacífico;Bangladesh;2013;0,243715288
NÃO OPEP;Ásia-Pacífico;Bangladesh;2014;0,223447403
