GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PRODUÇÃO DE ETANOL HIDRATADO;ANO
Região Nordeste;Ceará;9,000694;2013
Região Nordeste;Ceará;9,131623;2014
Região Nordeste;Ceará;14,599849;2015
Região Nordeste;Ceará;5,242;2016
Região Nordeste;Ceará;0;2017
Região Nordeste;Ceará;0;2018
Região Nordeste;Ceará;0;2019
Região Nordeste;Ceará;0;2020
Região Nordeste;Ceará;0;2021
Região Nordeste;Rio Grande do Norte ;37,86;2012
Região Nordeste;Rio Grande do Norte ;20,078894;2013
Região Nordeste;Rio Grande do Norte ;27,43784;2014
Região Nordeste;Rio Grande do Norte ;34,105635;2015
Região Nordeste;Rio Grande do Norte ;33,595542;2016
Região Nordeste;Rio Grande do Norte ;39,681669;2017
Região Nordeste;Rio Grande do Norte ;93,096981;2018
Região Nordeste;Rio Grande do Norte ;90,660679;2019
Região Nordeste;Rio Grande do Norte ;86,455671;2020
Região Nordeste;Rio Grande do Norte ;70,598795;2021
Região Nordeste;Paraíba;148,08;2012
Região Nordeste;Paraíba;101,534537;2013
Região Nordeste;Paraíba;140,208492;2014
Região Nordeste;Paraíba;238,353367;2015
Região Nordeste;Paraíba;201,706576;2016
Região Nordeste;Paraíba;175,808689;2017
Região Nordeste;Paraíba;260,637977;2018
Região Nordeste;Paraíba;175,294908;2019
Região Nordeste;Paraíba;197,884055;2020
Região Nordeste;Paraíba;135,851632;2021
Região Nordeste;Pernambuco;155,06;2012
Região Nordeste;Pernambuco;96,258452;2013
Região Nordeste;Pernambuco;143,232432;2014
Região Nordeste;Pernambuco;253,938549;2015
Região Nordeste;Pernambuco;223,754857;2016
Região Nordeste;Pernambuco;179,500303;2017
Região Nordeste;Pernambuco;378,910317;2018
Região Nordeste;Pernambuco;263,504615;2019
Região Nordeste;Pernambuco;281,377313;2020
Região Nordeste;Pernambuco;206,631371;2021
Região Nordeste;Alagoas;230,79;2012
Região Nordeste;Alagoas;160,904833;2013
Região Nordeste;Alagoas;143,879466;2014
Região Nordeste;Alagoas;221,510714;2015
Região Nordeste;Alagoas;104,568698;2016
Região Nordeste;Alagoas;85,964;2017
Região Nordeste;Alagoas;266,966694;2018
Região Nordeste;Alagoas;303,554564;2019
Região Nordeste;Alagoas;239,2921;2020
Região Nordeste;Alagoas;233,610128;2021
Região Nordeste;Sergipe ;88,54;2012
Região Nordeste;Sergipe ;68,53469;2013
Região Nordeste;Sergipe ;74,228373;2014
Região Nordeste;Sergipe ;134,764695;2015
Região Nordeste;Sergipe ;54,703482;2016
Região Nordeste;Sergipe ;39,369203;2017
Região Nordeste;Sergipe ;81,357524;2018
Região Nordeste;Sergipe ;80,179147;2019
Região Nordeste;Sergipe ;77,16647;2020
Região Nordeste;Sergipe ;93,100028;2021
Região Nordeste;Bahia ;68,57;2012
Região Nordeste;Bahia ;65,998428;2013
Região Nordeste;Bahia ;108,520857;2014
Região Nordeste;Bahia ;175,068021;2015
Região Nordeste;Bahia ;50,228623;2016
Região Nordeste;Bahia ;106,057;2017
Região Nordeste;Bahia ;165,48783;2018
Região Nordeste;Bahia ;165,716044;2019
Região Nordeste;Bahia ;156,523274;2020
Região Nordeste;Bahia ;190,539053;2021
Região Sudeste;Minas Gerais;1239,11;2012
Região Sudeste;Minas Gerais;1576,295201;2013
Região Sudeste;Minas Gerais;1581,065609;2014
Região Sudeste;Minas Gerais;2098,062747;2015
Região Sudeste;Minas Gerais;1597,393875;2016
Região Sudeste;Minas Gerais;1703,152191;2017
Região Sudeste;Minas Gerais;2427,979659;2018
Região Sudeste;Minas Gerais;2572,126506;2019
Região Sudeste;Minas Gerais;2110,654372;2020
Região Sudeste;Minas Gerais;1634,640607;2021
Região Sudeste;Espírito Santo ;73,82;2012
Região Sudeste;Espírito Santo ;73,28576;2013
Região Sudeste;Espírito Santo ;55,654856;2014
Região Sudeste;Espírito Santo ;91,796213;2015
Região Sudeste;Espírito Santo ;27,106409;2016
Região Sudeste;Espírito Santo ;13,268791;2017
Região Sudeste;Espírito Santo ;24,760995;2018
Região Sudeste;Espírito Santo ;14,27362;2019
Região Sudeste;Espírito Santo ;11,383838;2020
Região Sudeste;Espírito Santo ;13,669291;2021
Região Sudeste;Rio de Janeiro;68,38;2012
Região Sudeste;Rio de Janeiro;86,098755;2013
Região Sudeste;Rio de Janeiro;88,48514;2014
Região Sudeste;Rio de Janeiro;57,603867;2015
Região Sudeste;Rio de Janeiro;94,689826;2016
Região Sudeste;Rio de Janeiro;53,891687;2017
Região Sudeste;Rio de Janeiro;97,259793;2018
Região Sudeste;Rio de Janeiro;91,61986;2019
Região Sudeste;Rio de Janeiro;139,880152;2020
Região Sudeste;Rio de Janeiro;127,270814;2021
Região Sudeste;São Paulo ;6404,62;2012
Região Sudeste;São Paulo ;7222,163449;2013
Região Sudeste;São Paulo ;7438,36787;2014
Região Sudeste;São Paulo ;7648,736393;2015
Região Sudeste;São Paulo ;7681,959332;2016
Região Sudeste;São Paulo ;7427,443004;2017
Região Sudeste;São Paulo ;11083,8894;2018
Região Sudeste;São Paulo ;11007,11264;2019
Região Sudeste;São Paulo ;9641,211336;2020
Região Sudeste;São Paulo ;6725,251834;2021
Região Sul;Paraná ;906,47;2012
Região Sul;Paraná ;998,987896;2013
Região Sul;Paraná ;1048,324272;2014
Região Sul;Paraná ;924,098958;2015
Região Sul;Paraná ;866,495;2016
Região Sul;Paraná ;702,007118;2017
Região Sul;Paraná ;1106,070095;2018
Região Sul;Paraná ;1094,816;2019
Região Sul;Paraná ;723,99906;2020
Região Sul;Paraná ;630,366304;2021
Região Sul;Rio Grande do Sul ;1,67;2012
Região Sul;Rio Grande do Sul ;4,509846;2013
Região Sul;Rio Grande do Sul ;4,397453;2014
Região Sul;Rio Grande do Sul ;3,786688;2015
Região Sul;Rio Grande do Sul ;2,914;2016
Região Sul;Rio Grande do Sul ;2,493832;2017
Região Sul;Rio Grande do Sul ;2,189426;2018
Região Sul;Rio Grande do Sul ;1,640383;2019
Região Sul;Rio Grande do Sul ;0,088251;2020
Região Sul;Rio Grande do Sul ;0;2021
Região Centro-Oeste;Mato Grosso do Sul ;1475,72;2012
Região Centro-Oeste;Mato Grosso do Sul ;1638,249434;2013
Região Centro-Oeste;Mato Grosso do Sul ;1739,872764;2014
Região Centro-Oeste;Mato Grosso do Sul ;2066,203961;2015
Região Centro-Oeste;Mato Grosso do Sul ;1819,834444;2016
Região Centro-Oeste;Mato Grosso do Sul ;1771,617038;2017
Região Centro-Oeste;Mato Grosso do Sul ;2490,284495;2018
Região Centro-Oeste;Mato Grosso do Sul ;2637,303275;2019
Região Centro-Oeste;Mato Grosso do Sul ;2209,953211;2020
Região Centro-Oeste;Mato Grosso do Sul ;1917,447631;2021
Região Centro-Oeste;Mato Grosso ;505,42;2012
Região Centro-Oeste;Mato Grosso ;605,642836;2013
Região Centro-Oeste;Mato Grosso ;651,383413;2014
Região Centro-Oeste;Mato Grosso ;792,805458;2015
Região Centro-Oeste;Mato Grosso ;676,813961;2016
Região Centro-Oeste;Mato Grosso ;854,467982;2017
Região Centro-Oeste;Mato Grosso ;1123,585724;2018
Região Centro-Oeste;Mato Grosso ;1559,354202;2019
Região Centro-Oeste;Mato Grosso ;2223,11394;2020
Região Centro-Oeste;Mato Grosso ;2702,190662;2021
Região Centro-Oeste;Goiás;2348,28;2012
Região Centro-Oeste;Goiás;2880,064013;2013
Região Centro-Oeste;Goiás;3116,1655;2014
Região Centro-Oeste;Goiás;3713,346067;2015
Região Centro-Oeste;Goiás;3506,448975;2016
Região Centro-Oeste;Goiás;3698,757407;2017
Região Centro-Oeste;Goiás;3875,056151;2018
Região Centro-Oeste;Goiás;4682,283055;2019
Região Centro-Oeste;Goiás;4220,843114;2020
Região Centro-Oeste;Goiás;3724,404424;2021
