REGIÃO GEOGRÁFICA;PAÍS;EXPORTAÇÃO DE PETRÓLEO;ANO
Oriente Médio;Israel;0;2014
Oriente Médio;Israel;0;2015
Oriente Médio;Israel;0;2016
Oriente Médio;Israel;0;2017
Oriente Médio;Israel;0;2018
Oriente Médio;Israel;0;2019
Oriente Médio;Israel;0;2020
Oriente Médio;Israel;1909,477867;2021
África;África do Sul;0;2012
África;África do Sul;0;2013
África;África do Sul;0;2014
África;África do Sul;0;2015
África;África do Sul;0;2016
África;África do Sul;0;2017
África;África do Sul;982,0624946;2018
África;África do Sul;0;2019
África;África do Sul;1954,993062;2020
África;África do Sul;0;2021
Ásia-Pacífico;China;45577;2012
Ásia-Pacífico;China;41832,944;2013
Ásia-Pacífico;China;39033,0265;2014
Ásia-Pacífico;China;92092,75912;2015
Ásia-Pacífico;China;108197,9257;2016
Ásia-Pacífico;China;154327,0116;2017
Ásia-Pacífico;China;227581,5902;2018
Ásia-Pacífico;China;269584,3403;2019
Ásia-Pacífico;China;292073,3459;2020
Ásia-Pacífico;China;227935,4803;2021
Ásia-Pacífico;Coreia do Sul;0;2012
Ásia-Pacífico;Coreia do Sul;0;2013
Ásia-Pacífico;Coreia do Sul;0;2014
Ásia-Pacífico;Coreia do Sul;0;2015
Ásia-Pacífico;Coreia do Sul;0;2016
Ásia-Pacífico;Coreia do Sul;0;2017
Ásia-Pacífico;Coreia do Sul;0;2018
Ásia-Pacífico;Coreia do Sul;925,0080444;2019
Ásia-Pacífico;Coreia do Sul;15336,90897;2020
Ásia-Pacífico;Coreia do Sul;22094,18359;2021
Ásia-Pacífico;Filipinas;0;2012
Ásia-Pacífico;Filipinas;0;2013
Ásia-Pacífico;Filipinas;0;2014
Ásia-Pacífico;Filipinas;0;2015
Ásia-Pacífico;Filipinas;0;2016
Ásia-Pacífico;Filipinas;0;2017
Ásia-Pacífico;Filipinas;0;2018
Ásia-Pacífico;Filipinas;935,6764461;2019
Ásia-Pacífico;Filipinas;961,4164566;2020
Ásia-Pacífico;Filipinas;0;2021
Ásia-Pacífico;Japão;0;2012
Ásia-Pacífico;Japão;0;2013
Ásia-Pacífico;Japão;0;2014
Ásia-Pacífico;Japão;0;2015
Ásia-Pacífico;Japão;0;2016
Ásia-Pacífico;Japão;0;2017
Ásia-Pacífico;Japão;0;2018
Ásia-Pacífico;Japão;0;2019
Ásia-Pacífico;Japão;0;2020
Ásia-Pacífico;Japão;936,7892487;2021
Ásia-Pacífico;Hong Kong;0;2012
Ásia-Pacífico;Hong Kong;0;2013
Ásia-Pacífico;Hong Kong;0;2014
Ásia-Pacífico;Hong Kong;0;2015
Ásia-Pacífico;Hong Kong;0;2016
Ásia-Pacífico;Hong Kong;1464,398062;2017
Ásia-Pacífico;Hong Kong;0;2018
Ásia-Pacífico;Hong Kong;0;2019
Ásia-Pacífico;Hong Kong;0;2020
Ásia-Pacífico;Hong Kong;0;2021
Ásia-Pacífico;Índia;34632;2012
Ásia-Pacífico;Índia;18028,941;2013
Ásia-Pacífico;Índia;29775,44739;2014
Ásia-Pacífico;Índia;28913,24519;2015
Ásia-Pacífico;Índia;21243,79931;2016
Ásia-Pacífico;Índia;33510,22593;2017
Ásia-Pacífico;Índia;19319,38305;2018
Ásia-Pacífico;Índia;17930,98565;2019
Ásia-Pacífico;Índia;28940,82766;2020
Ásia-Pacífico;Índia;36405,98349;2021
Ásia-Pacífico;Indonésia;0;2012
Ásia-Pacífico;Indonésia;0;2013
Ásia-Pacífico;Indonésia;0;2014
Ásia-Pacífico;Indonésia;0;2015
Ásia-Pacífico;Indonésia;0;2016
Ásia-Pacífico;Indonésia;0;2017
Ásia-Pacífico;Indonésia;0;2018
Ásia-Pacífico;Indonésia;970,8759957;2019
Ásia-Pacífico;Indonésia;485,9406426;2020
Ásia-Pacífico;Indonésia;0;2021
Ásia-Pacífico;Malásia;0;2012
Ásia-Pacífico;Malásia;0;2013
Ásia-Pacífico;Malásia;680,1866497;2014
Ásia-Pacífico;Malásia;2152,660346;2015
Ásia-Pacífico;Malásia;987,0174557;2016
Ásia-Pacífico;Malásia;1061,055605;2017
Ásia-Pacífico;Malásia;521,4551521;2018
Ásia-Pacífico;Malásia;4482,879939;2019
Ásia-Pacífico;Malásia;14155,13929;2020
Ásia-Pacífico;Malásia;12661,44255;2021
Ásia-Pacífico;Singapura;0;2012
Ásia-Pacífico;Singapura;0;2013
Ásia-Pacífico;Singapura;1958,857888;2014
Ásia-Pacífico;Singapura;0;2015
Ásia-Pacífico;Singapura;0;2016
Ásia-Pacífico;Singapura;1506,655447;2017
Ásia-Pacífico;Singapura;937,951122;2018
Ásia-Pacífico;Singapura;4833,211178;2019
Ásia-Pacífico;Singapura;15826,26496;2020
Ásia-Pacífico;Singapura;15813,17502;2021
Ásia-Pacífico;Taiwan;0;2012
Ásia-Pacífico;Taiwan;0;2013
Ásia-Pacífico;Taiwan;0;2014
Ásia-Pacífico;Taiwan;0;2015
Ásia-Pacífico;Taiwan;3806,96768;2016
Ásia-Pacífico;Taiwan;5701,545652;2017
Ásia-Pacífico;Taiwan;1914,467066;2018
Ásia-Pacífico;Taiwan;0,000174995;2019
Ásia-Pacífico;Taiwan;0;2020
Ásia-Pacífico;Taiwan;0;2021
