GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PRODUÇÃO DE ETANOL ANIDRO E HIDRATADO;ANO
Região Nordeste;Ceará;3,98;2012
Região Nordeste;Ceará;9,000694;2013
Região Nordeste;Ceará;9,131623;2014
Região Nordeste;Ceará;14,599849;2015
Região Nordeste;Ceará;5,242;2016
Região Nordeste;Ceará;0;2017
Região Nordeste;Ceará;0;2018
Região Nordeste;Ceará;0;2019
Região Nordeste;Ceará;0;2020
Região Nordeste;Ceará;0;2021
Região Nordeste;Rio Grande do Norte ;90,35;2012
Região Nordeste;Rio Grande do Norte ;55,558268;2013
Região Nordeste;Rio Grande do Norte ;73,236396;2014
Região Nordeste;Rio Grande do Norte ;98,260143;2015
Região Nordeste;Rio Grande do Norte ;75,154945;2016
Região Nordeste;Rio Grande do Norte ;66,349253;2017
Região Nordeste;Rio Grande do Norte ;114,899291;2018
Região Nordeste;Rio Grande do Norte ;109,642442;2019
Região Nordeste;Rio Grande do Norte ;118,304254;2020
Região Nordeste;Rio Grande do Norte ;101,775935;2021
Região Nordeste;Paraíba;294,46;2012
Região Nordeste;Paraíba;287,002903;2013
Região Nordeste;Paraíba;375,701945;2014
Região Nordeste;Paraíba;447,057098;2015
Região Nordeste;Paraíba;360,234251;2016
Região Nordeste;Paraíba;329,634914;2017
Região Nordeste;Paraíba;431,044077;2018
Região Nordeste;Paraíba;359,026839;2019
Região Nordeste;Paraíba;395,528187;2020
Região Nordeste;Paraíba;362,878916;2021
Região Nordeste;Pernambuco;333,41;2012
Região Nordeste;Pernambuco;249,265773;2013
Região Nordeste;Pernambuco;336,056589;2014
Região Nordeste;Pernambuco;442,943171;2015
Região Nordeste;Pernambuco;347,869722;2016
Região Nordeste;Pernambuco;279,446371;2017
Região Nordeste;Pernambuco;465,51343;2018
Região Nordeste;Pernambuco;367,956919;2019
Região Nordeste;Pernambuco;395,01759;2020
Região Nordeste;Pernambuco;320,881241;2021
Região Nordeste;Alagoas;579,66;2012
Região Nordeste;Alagoas;457,733559;2013
Região Nordeste;Alagoas;485,245474;2014
Região Nordeste;Alagoas;554,55769;2015
Região Nordeste;Alagoas;366,485728;2016
Região Nordeste;Alagoas;311,880222;2017
Região Nordeste;Alagoas;464,102313;2018
Região Nordeste;Alagoas;503,156852;2019
Região Nordeste;Alagoas;425,894911;2020
Região Nordeste;Alagoas;423,606031;2021
Região Nordeste;Sergipe ;124,84;2012
Região Nordeste;Sergipe ;99,132981;2013
Região Nordeste;Sergipe ;111,537034;2014
Região Nordeste;Sergipe ;169,887677;2015
Região Nordeste;Sergipe ;76,031749;2016
Região Nordeste;Sergipe ;63,73614;2017
Região Nordeste;Sergipe ;104,20349;2018
Região Nordeste;Sergipe ;101,826513;2019
Região Nordeste;Sergipe ;97,156601;2020
Região Nordeste;Sergipe ;112,997038;2021
Região Nordeste;Bahia ;147,45;2012
Região Nordeste;Bahia ;175,459467;2013
Região Nordeste;Bahia ;240,293978;2014
Região Nordeste;Bahia ;222,264976;2015
Região Nordeste;Bahia ;126,070883;2016
Região Nordeste;Bahia ;180,770938;2017
Região Nordeste;Bahia ;245,701679;2018
Região Nordeste;Bahia ;249,095225;2019
Região Nordeste;Bahia ;273,54557;2020
Região Nordeste;Bahia ;311,544245;2021
Região Sudeste;Minas Gerais;2102,99;2012
Região Sudeste;Minas Gerais;2809,093664;2013
Região Sudeste;Minas Gerais;2676,281452;2014
Região Sudeste;Minas Gerais;3202,916052;2015
Região Sudeste;Minas Gerais;2699,42542;2016
Região Sudeste;Minas Gerais;2705,404056;2017
Região Sudeste;Minas Gerais;3257,598713;2018
Região Sudeste;Minas Gerais;3579,206026;2019
Região Sudeste;Minas Gerais;3074,563993;2020
Região Sudeste;Minas Gerais;2839,276101;2021
Região Sudeste;Espírito Santo ;186,4;2012
Região Sudeste;Espírito Santo ;180,716835;2013
Região Sudeste;Espírito Santo ;162,345026;2014
Região Sudeste;Espírito Santo ;178,734176;2015
Região Sudeste;Espírito Santo ;75,307676;2016
Região Sudeste;Espírito Santo ;90,645437;2017
Região Sudeste;Espírito Santo ;127,569572;2018
Região Sudeste;Espírito Santo ;120,967867;2019
Região Sudeste;Espírito Santo ;89,692692;2020
Região Sudeste;Espírito Santo ;93,738351;2021
Região Sudeste;Rio de Janeiro;68,38;2012
Região Sudeste;Rio de Janeiro;86,098755;2013
Região Sudeste;Rio de Janeiro;88,48514;2014
Região Sudeste;Rio de Janeiro;57,603867;2015
Região Sudeste;Rio de Janeiro;94,689826;2016
Região Sudeste;Rio de Janeiro;53,891687;2017
Região Sudeste;Rio de Janeiro;97,259793;2018
Região Sudeste;Rio de Janeiro;91,61986;2019
Região Sudeste;Rio de Janeiro;139,880152;2020
Região Sudeste;Rio de Janeiro;127,270814;2021
Região Sudeste;São Paulo ;11987,49;2012
Região Sudeste;São Paulo ;13921,70151;2013
Região Sudeste;São Paulo ;13871,48812;2014
Região Sudeste;São Paulo ;13830,04782;2015
Região Sudeste;São Paulo ;14232,41122;2016
Região Sudeste;São Paulo ;13838,59213;2017
Região Sudeste;São Paulo ;16203,40306;2018
Região Sudeste;São Paulo ;16668,25003;2019
Região Sudeste;São Paulo ;14647,91296;2020
Região Sudeste;São Paulo ;12075,46006;2021
Região Sul;Paraná  ;1304,05;2012
Região Sul;Paraná  ;1466,439621;2013
Região Sul;Paraná  ;1579,462039;2014
Região Sul;Paraná  ;1462,387271;2015
Região Sul;Paraná  ;1473,691184;2016
Região Sul;Paraná  ;1291,370872;2017
Região Sul;Paraná  ;1624,00967;2018
Região Sul;Paraná  ;1664,633784;2019
Região Sul;Paraná  ;1263,867806;2020
Região Sul;Paraná  ;1193,616264;2021
Região Sul;Rio Grande do Sul ;1,67;2012
Região Sul;Rio Grande do Sul ;4,509846;2013
Região Sul;Rio Grande do Sul ;4,397453;2014
Região Sul;Rio Grande do Sul ;3,786688;2015
Região Sul;Rio Grande do Sul ;2,914;2016
Região Sul;Rio Grande do Sul ;2,493832;2017
Região Sul;Rio Grande do Sul ;2,189426;2018
Região Sul;Rio Grande do Sul ;1,640383;2019
Região Sul;Rio Grande do Sul ;0,088251;2020
Região Sul;Rio Grande do Sul ;0;2021
Região Centro-Oeste;Mato Grosso do Sul ;1980,73;2012
Região Centro-Oeste;Mato Grosso do Sul ;2218,096267;2013
Região Centro-Oeste;Mato Grosso do Sul ;2349,741948;2014
Região Centro-Oeste;Mato Grosso do Sul ;2712,330386;2015
Região Centro-Oeste;Mato Grosso do Sul ;2599,941104;2016
Região Centro-Oeste;Mato Grosso do Sul ;2668,062671;2017
Região Centro-Oeste;Mato Grosso do Sul ;3264,479495;2018
Região Centro-Oeste;Mato Grosso do Sul ;3307,20173;2019
Região Centro-Oeste;Mato Grosso do Sul ;2877,254862;2020
Região Centro-Oeste;Mato Grosso do Sul ;2636,702883;2021
Região Centro-Oeste;Mato Grosso ;953,53;2012
Região Centro-Oeste;Mato Grosso ;1181,941391;2013
Região Centro-Oeste;Mato Grosso ;1132,042891;2014
Região Centro-Oeste;Mato Grosso ;1316,318791;2015
Região Centro-Oeste;Mato Grosso ;1211,646258;2016
Região Centro-Oeste;Mato Grosso ;1415,090123;2017
Região Centro-Oeste;Mato Grosso ;1757,282435;2018
Região Centro-Oeste;Mato Grosso ;2254,382381;2019
Região Centro-Oeste;Mato Grosso ;3123,874191;2020
Região Centro-Oeste;Mato Grosso ;3935,358081;2021
Região Centro-Oeste;Goiás;3219,46;2012
Região Centro-Oeste;Goiás;3887,501316;2013
Região Centro-Oeste;Goiás;4269,033039;2014
Região Centro-Oeste;Goiás;4809,350044;2015
Região Centro-Oeste;Goiás;4584,213089;2016
Região Centro-Oeste;Goiás;4874,776256;2017
Região Centro-Oeste;Goiás;4491,430351;2018
Região Centro-Oeste;Goiás;5470,737678;2019
Região Centro-Oeste;Goiás;5318,034066;2020
Região Centro-Oeste;Goiás;4979,709154;2021
