BLOCO;REGIÃO GEOGRÁFICA;PAÍS;RESERVAS PROVADAS DE PETRÓLEO;ANO
NÃO OPEP;Américas Central e do Sul;Colômbia;2,002;2016
NÃO OPEP;Américas Central e do Sul;Colômbia;1,66549;2017
NÃO OPEP;Américas Central e do Sul;Colômbia;1,782208;2018
NÃO OPEP;Américas Central e do Sul;Colômbia;1,96;2019
NÃO OPEP;Américas Central e do Sul;Colômbia;2,036;2020
OPEP;Américas Central e do Sul;Equador;2;2011
OPEP;Américas Central e do Sul;Equador;1,942398273;2012
OPEP;Américas Central e do Sul;Equador;2,056931986;2013
OPEP;Américas Central e do Sul;Equador;1,772935126;2014
OPEP;Américas Central e do Sul;Equador;1,8062434;2015
OPEP;Américas Central e do Sul;Equador;1,7037503;2016
OPEP;Américas Central e do Sul;Equador;1,6323077;2017
OPEP;Américas Central e do Sul;Equador;1,3025471;2018
OPEP;Américas Central e do Sul;Equador;1,3025471;2019
OPEP;Américas Central e do Sul;Equador;1,3025471;2020
NÃO OPEP;Américas Central e do Sul;Peru;1,2;2011
NÃO OPEP;Américas Central e do Sul;Peru;1,4227;2012
NÃO OPEP;Américas Central e do Sul;Peru;1,616952;2013
NÃO OPEP;Américas Central e do Sul;Peru;1,409846;2014
NÃO OPEP;Américas Central e do Sul;Peru;1,187285;2015
NÃO OPEP;Américas Central e do Sul;Peru;1,224601;2016
NÃO OPEP;Américas Central e do Sul;Peru;0,985075;2017
NÃO OPEP;Américas Central e do Sul;Peru;0,85889;2018
NÃO OPEP;Américas Central e do Sul;Peru;0,803176687;2019
NÃO OPEP;Américas Central e do Sul;Peru;0,746346029;2020
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;0,8;2011
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;0,83;2012
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;0,83;2013
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;0,83;2014
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;0,7283;2015
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;0,242982;2016
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;0,242982;2017
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;0,242982;2018
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;0,242982;2019
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;0,242982;2020
OPEP;Américas Central e do Sul;Venezuela;297,6;2011
OPEP;Américas Central e do Sul;Venezuela;297,735;2012
OPEP;Américas Central e do Sul;Venezuela;298,3532;2013
OPEP;Américas Central e do Sul;Venezuela;299,9532;2014
OPEP;Américas Central e do Sul;Venezuela;300,8783;2015
OPEP;Américas Central e do Sul;Venezuela;302,2504;2016
OPEP;Américas Central e do Sul;Venezuela;302,808;2017
OPEP;Américas Central e do Sul;Venezuela;303,805745;2018
OPEP;Américas Central e do Sul;Venezuela;303,805745;2019
OPEP;Américas Central e do Sul;Venezuela;303,805745;2020
NÃO OPEP;Américas Central e do Sul;Outros;0,5;2011
NÃO OPEP;Américas Central e do Sul;Outros;0,5135324;2012
NÃO OPEP;Américas Central e do Sul;Outros;0,5306172;2013
NÃO OPEP;Américas Central e do Sul;Outros;0,5402171;2014
NÃO OPEP;Américas Central e do Sul;Outros;0,5214782;2015
NÃO OPEP;Américas Central e do Sul;Outros;0,5218385;2016
NÃO OPEP;Américas Central e do Sul;Outros;0,575421491;2017
NÃO OPEP;Américas Central e do Sul;Outros;0,573415291;2018
NÃO OPEP;Américas Central e do Sul;Outros;0,72177312;2019
NÃO OPEP;Américas Central e do Sul;Outros;0,8247813;2020
NÃO OPEP;Europa;Europa;13,9;2011
NÃO OPEP;Europa;Europa;14,24828671;2012
NÃO OPEP;Europa;Europa;13,7013232;2013
NÃO OPEP;Europa;Europa;12,8919211;2014
NÃO OPEP;Europa;Europa;13,92134428;2015
NÃO OPEP;Europa;Europa;13,14879623;2016
NÃO OPEP;Europa;Europa;13,61665007;2017
NÃO OPEP;Europa;Europa;14,5246264;2018
NÃO OPEP;Europa;Europa;14,1957336;2019
NÃO OPEP;Europa;Europa;13,62896306;2020
NÃO OPEP;Europa;Dinamarca;0,8;2011
NÃO OPEP;Europa;Dinamarca;0,729618046;2012
NÃO OPEP;Europa;Dinamarca;0,67300975;2013
NÃO OPEP;Europa;Dinamarca;0,610111642;2014
NÃO OPEP;Europa;Dinamarca;0,490605238;2015
NÃO OPEP;Europa;Dinamarca;0,440286752;2016
NÃO OPEP;Europa;Dinamarca;0,427707131;2017
NÃO OPEP;Europa;Dinamarca;0,440286752;2018
NÃO OPEP;Europa;Dinamarca;0,427707131;2019
NÃO OPEP;Europa;Dinamarca;0,427707131;2020
NÃO OPEP;Europa;Itália;0,6;2011
NÃO OPEP;Europa;Itália;0,621149985;2012
NÃO OPEP;Europa;Itália;0,603438525;2013
NÃO OPEP;Europa;Itália;0,641904183;2014
NÃO OPEP;Europa;Itália;0,616956759;2015
NÃO OPEP;Europa;Itália;0,540570411;2016
NÃO OPEP;Europa;Itália;0,592228836;2017
NÃO OPEP;Europa;Itália;0,573972408;2018
NÃO OPEP;Europa;Itália;0,551810376;2019
NÃO OPEP;Europa;Itália;0,604074321;2020
NÃO OPEP;Europa;Noruega;6,9;2011
NÃO OPEP;Europa;Noruega;7,494603397;2012
NÃO OPEP;Europa;Noruega;7,047489708;2013
NÃO OPEP;Europa;Noruega;6,539223922;2014
NÃO OPEP;Europa;Noruega;8,005041226;2015
NÃO OPEP;Europa;Noruega;7,601219652;2016
NÃO OPEP;Europa;Noruega;7,917996888;2017
NÃO OPEP;Europa;Noruega;8,644514705;2018
NÃO OPEP;Europa;Noruega;8,522989624;2019
NÃO OPEP;Europa;Noruega;7,901704611;2020
NÃO OPEP;Europa;Reino Unido;3,1;2011
NÃO OPEP;Europa;Reino Unido;3,0375;2012
NÃO OPEP;Europa;Reino Unido;3,03;2013
NÃO OPEP;Europa;Reino Unido;2,805;2014
NÃO OPEP;Europa;Reino Unido;2,5423575;2015
NÃO OPEP;Europa;Reino Unido;2,313275817;2016
NÃO OPEP;Europa;Reino Unido;2,5;2017
NÃO OPEP;Europa;Reino Unido;2,7;2018
NÃO OPEP;Europa;Reino Unido;2,5;2019
NÃO OPEP;Europa;Reino Unido;2,5;2020
NÃO OPEP;Europa;Romênia;0,6;2011
NÃO OPEP;Europa;Romênia;0,6;2012
NÃO OPEP;Europa;Romênia;0,6;2013
NÃO OPEP;Europa;Romênia;0,6;2014
NÃO OPEP;Europa;Romênia;0,6;2015
NÃO OPEP;Europa;Romênia;0,6;2016
NÃO OPEP;Europa;Romênia;0,6;2017
NÃO OPEP;Europa;Romênia;0,6;2018
NÃO OPEP;Europa;Romênia;0,6;2019
NÃO OPEP;Europa;Romênia;0,6;2020
NÃO OPEP;Europa;Outros;1,9;2011
NÃO OPEP;Europa;Outros;1,765415282;2012
NÃO OPEP;Europa;Outros;1,747385221;2013
NÃO OPEP;Europa;Outros;1,695681355;2014
NÃO OPEP;Europa;Outros;1,666383554;2015
NÃO OPEP;Europa;Outros;1,653443597;2016
NÃO OPEP;Europa;Outros;1,578717216;2017
NÃO OPEP;Europa;Outros;1,565852537;2018
NÃO OPEP;Europa;Outros;1,593226468;2019
NÃO OPEP;Europa;Outros;1,595477002;2020
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2011
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2012
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2013
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2014
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2015
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2016
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2017
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2018
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2019
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;7;2020
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2011
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2012
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2013
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2014
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2015
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2016
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2017
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2018
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2019
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;30;2020
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;105,7;2011
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;105,491586;2012
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;105,0164164;2013
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;103,163892;2014
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;102,3752;2015
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;106,28289;2016
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;106,591534;2017
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;107,2207794;2018
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;107,8042392;2019
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;107,8042392;2020
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2011
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2012
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2013
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2014
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2015
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2016
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2017
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2018
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2019
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;0,6;2020
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,6;2011
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2012
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2013
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2014
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2015
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2016
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2017
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2018
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2019
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;0,594;2020
NÃO OPEP;Comunidade dos Estados Independentes;Outros;0,3;2011
NÃO OPEP;Comunidade dos Estados Independentes;Outros;0,25;2012
NÃO OPEP;Comunidade dos Estados Independentes;Outros;0,25;2013
NÃO OPEP;Comunidade dos Estados Independentes;Outros;0,25;2014
NÃO OPEP;Comunidade dos Estados Independentes;Outros;0,25;2015
NÃO OPEP;Comunidade dos Estados Independentes;Outros;0,25;2016
NÃO OPEP;Comunidade dos Estados Independentes;Outros;0,25;2017
NÃO OPEP;Comunidade dos Estados Independentes;Outros;0,25;2018
NÃO OPEP;Comunidade dos Estados Independentes;Outros;0,25;2019
NÃO OPEP;Comunidade dos Estados Independentes;Outros;0,25;2020
OPEP;Oriente Médio;Arábia Saudita;265,4;2011
OPEP;Oriente Médio;Arábia Saudita;265,85;2012
OPEP;Oriente Médio;Arábia Saudita;265,789;2013
OPEP;Oriente Médio;Arábia Saudita;266,578;2014
OPEP;Oriente Médio;Arábia Saudita;266,455;2015
OPEP;Oriente Médio;Arábia Saudita;266,208;2016
OPEP;Oriente Médio;Arábia Saudita;295,958;2017
OPEP;Oriente Médio;Arábia Saudita;297,671;2018
OPEP;Oriente Médio;Arábia Saudita;297,578;2019
OPEP;Oriente Médio;Arábia Saudita;297,527;2020
NÃO OPEP;Oriente Médio;Catar;23,9;2011
NÃO OPEP;Oriente Médio;Catar;25,229;2012
NÃO OPEP;Oriente Médio;Catar;25,063;2013
NÃO OPEP;Oriente Médio;Catar;25,705;2014
NÃO OPEP;Oriente Médio;Catar;25,244;2015
NÃO OPEP;Oriente Médio;Catar;25,244;2016
NÃO OPEP;Oriente Médio;Catar;25,244;2017
NÃO OPEP;Oriente Médio;Catar;25,244;2018
NÃO OPEP;Oriente Médio;Catar;25,244;2019
NÃO OPEP;Oriente Médio;Catar;25,244;2020
OPEP;Oriente Médio;Coveite;101,5;2011
OPEP;Oriente Médio;Coveite;101,5;2012
OPEP;Oriente Médio;Coveite;101,5;2013
OPEP;Oriente Médio;Coveite;101,5;2014
OPEP;Oriente Médio;Coveite;101,5;2015
OPEP;Oriente Médio;Coveite;101,5;2016
OPEP;Oriente Médio;Coveite;101,5;2017
OPEP;Oriente Médio;Coveite;101,5;2018
OPEP;Oriente Médio;Coveite;101,5;2019
OPEP;Oriente Médio;Coveite;101,5;2020
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2011
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2012
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2013
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2014
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2015
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2016
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2017
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2018
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2019
OPEP;Oriente Médio;Emirados Árabes Unidos;97,8;2020
NÃO OPEP;Oriente Médio;Iêmen;3;2011
NÃO OPEP;Oriente Médio;Iêmen;3;2012
NÃO OPEP;Oriente Médio;Iêmen;3;2013
NÃO OPEP;Oriente Médio;Iêmen;3;2014
NÃO OPEP;Oriente Médio;Iêmen;3;2015
NÃO OPEP;Oriente Médio;Iêmen;3;2016
NÃO OPEP;Oriente Médio;Iêmen;3;2017
NÃO OPEP;Oriente Médio;Iêmen;3;2018
NÃO OPEP;Oriente Médio;Iêmen;3;2019
NÃO OPEP;Oriente Médio;Iêmen;3;2020
OPEP;Oriente Médio;Irã;154,6;2011
OPEP;Oriente Médio;Irã;157,3;2012
OPEP;Oriente Médio;Irã;157,8;2013
OPEP;Oriente Médio;Irã;157,53;2014
OPEP;Oriente Médio;Irã;158,4;2015
OPEP;Oriente Médio;Irã;157,2;2016
OPEP;Oriente Médio;Irã;155,6;2017
OPEP;Oriente Médio;Irã;155,6;2018
OPEP;Oriente Médio;Irã;157,8;2019
OPEP;Oriente Médio;Irã;157,8;2020
OPEP;Oriente Médio;Iraque;143,1;2011
OPEP;Oriente Médio;Iraque;140,3;2012
OPEP;Oriente Médio;Iraque;144,211;2013
OPEP;Oriente Médio;Iraque;143,069;2014
OPEP;Oriente Médio;Iraque;142,503;2015
OPEP;Oriente Médio;Iraque;148,766;2016
OPEP;Oriente Médio;Iraque;147,223;2017
OPEP;Oriente Médio;Iraque;145,019;2018
OPEP;Oriente Médio;Iraque;145,019;2019
OPEP;Oriente Médio;Iraque;145,019;2020
NÃO OPEP;Oriente Médio;Omã;5,5;2011
NÃO OPEP;Oriente Médio;Omã;5,5;2012
NÃO OPEP;Oriente Médio;Omã;4,9743;2013
NÃO OPEP;Oriente Médio;Omã;5,151;2014
NÃO OPEP;Oriente Médio;Omã;5,306;2015
NÃO OPEP;Oriente Médio;Omã;5,373;2016
NÃO OPEP;Oriente Médio;Omã;5,373;2017
NÃO OPEP;Oriente Médio;Omã;5,373;2018
NÃO OPEP;Oriente Médio;Omã;5,373;2019
NÃO OPEP;Oriente Médio;Omã;5,373;2020
NÃO OPEP;Oriente Médio;Síria;2,5;2011
NÃO OPEP;Oriente Médio;Síria;2,5;2012
NÃO OPEP;Oriente Médio;Síria;2,5;2013
NÃO OPEP;Oriente Médio;Síria;2,5;2014
NÃO OPEP;Oriente Médio;Síria;2,5;2015
NÃO OPEP;Oriente Médio;Síria;2,5;2016
NÃO OPEP;Oriente Médio;Síria;2,5;2017
NÃO OPEP;Oriente Médio;Síria;2,5;2018
NÃO OPEP;Oriente Médio;Síria;2,5;2019
NÃO OPEP;Oriente Médio;Síria;2,5;2020
NÃO OPEP;Oriente Médio;Outros;0,7;2011
NÃO OPEP;Oriente Médio;Outros;0,2793;2012
NÃO OPEP;Oriente Médio;Outros;0,260685;2013
NÃO OPEP;Oriente Médio;Outros;0,239253;2014
NÃO OPEP;Oriente Médio;Outros;0,217053;2015
NÃO OPEP;Oriente Médio;Outros;0,14691005;2016
NÃO OPEP;Oriente Médio;Outros;0,13523;2017
NÃO OPEP;Oriente Médio;Outros;0,15673;2018
NÃO OPEP;Oriente Médio;Outros;0,19443;2019
NÃO OPEP;Oriente Médio;Outros;0,178691;2020
OPEP;África;Argélia;12,2;2011
OPEP;África;Argélia;12,2;2012
OPEP;África;Argélia;12,2;2013
OPEP;África;Argélia;12,2;2014
OPEP;África;Argélia;12,2;2015
OPEP;África;Argélia;12,2;2016
OPEP;África;Argélia;12,2;2017
OPEP;África;Argélia;12,2;2018
OPEP;África;Argélia;12,2;2019
OPEP;África;Argélia;12,2;2020
OPEP;África;Angola;9,1;2011
OPEP;África;Angola;9,055;2012
OPEP;África;Angola;9,011;2013
OPEP;África;Angola;8,423;2014
OPEP;África;Angola;9,524;2015
OPEP;África;Angola;9,523;2016
OPEP;África;Angola;8,384;2017
OPEP;África;Angola;8,16;2018
OPEP;África;Angola;7,783;2019
OPEP;África;Angola;7,783;2020
NÃO OPEP;África;Chade;1,5;2011
NÃO OPEP;África;Chade;1,5;2012
NÃO OPEP;África;Chade;1,5;2013
NÃO OPEP;África;Chade;1,5;2014
NÃO OPEP;África;Chade;1,5;2015
NÃO OPEP;África;Chade;1,5;2016
NÃO OPEP;África;Chade;1,5;2017
NÃO OPEP;África;Chade;1,5;2018
NÃO OPEP;África;Chade;1,5;2019
NÃO OPEP;África;Chade;1,5;2020
OPEP;África;Congo;2;2011
OPEP;África;Congo;2;2012
OPEP;África;Congo;2,673;2013
OPEP;África;Congo;2,867;2014
OPEP;África;Congo;2,982;2015
OPEP;África;Congo;2,982;2016
OPEP;África;Congo;2,982;2017
OPEP;África;Congo;2,982;2018
OPEP;África;Congo;2,882;2019
OPEP;África;Congo;2,882;2020
NÃO OPEP;África;Egito;4,3;2011
NÃO OPEP;África;Egito;4,2;2012
NÃO OPEP;África;Egito;3,9;2013
NÃO OPEP;África;Egito;3,681;2014
NÃO OPEP;África;Egito;3,473;2015
NÃO OPEP;África;Egito;3,384;2016
NÃO OPEP;África;Egito;3,325;2017
NÃO OPEP;África;Egito;3,197;2018
NÃO OPEP;África;Egito;3,146;2019
NÃO OPEP;África;Egito;3,146;2020
OPEP;África;Gabão;2;2011
OPEP;África;Gabão;2;2012
OPEP;África;Gabão;2;2013
OPEP;África;Gabão;2;2014
OPEP;África;Gabão;2;2015
OPEP;África;Gabão;2;2016
OPEP;África;Gabão;2;2017
OPEP;África;Gabão;2;2018
OPEP;África;Gabão;2;2019
OPEP;África;Gabão;2;2020
OPEP;África;Guiné-Equatorial;1,7;2011
OPEP;África;Guiné-Equatorial;1,705;2012
OPEP;África;Guiné-Equatorial;1,705;2013
OPEP;África;Guiné-Equatorial;1,1;2014
OPEP;África;Guiné-Equatorial;1,1;2015
OPEP;África;Guiné-Equatorial;1,1;2016
OPEP;África;Guiné-Equatorial;1,1;2017
OPEP;África;Guiné-Equatorial;1,1;2018
OPEP;África;Guiné-Equatorial;1,1;2019
OPEP;África;Guiné-Equatorial;1,1;2020
OPEP;África;Líbia;48;2011
OPEP;África;Líbia;48,472;2012
OPEP;África;Líbia;48,363;2013
OPEP;África;Líbia;48,363;2014
OPEP;África;Líbia;48,363;2015
OPEP;África;Líbia;48,363;2016
OPEP;África;Líbia;48,363;2017
OPEP;África;Líbia;48,363;2018
OPEP;África;Líbia;48,363;2019
OPEP;África;Líbia;48,363;2020
OPEP;África;Nigéria;36,2;2011
OPEP;África;Nigéria;37,139;2012
OPEP;África;Nigéria;37,071;2013
OPEP;África;Nigéria;37,448;2014
OPEP;África;Nigéria;37,062;2015
OPEP;África;Nigéria;37,453;2016
OPEP;África;Nigéria;37,453;2017
OPEP;África;Nigéria;36,972;2018
OPEP;África;Nigéria;36,89;2019
OPEP;África;Nigéria;36,89;2020
NÃO OPEP;África;Sudão;5;2011
NÃO OPEP;África;Sudão;1,5;2012
NÃO OPEP;África;Sudão;1,5;2013
NÃO OPEP;África;Sudão;1,5;2014
NÃO OPEP;África;Sudão;1,5;2015
NÃO OPEP;África;Sudão;1,5;2016
NÃO OPEP;África;Sudão;1,5;2017
NÃO OPEP;África;Sudão;1,5;2018
NÃO OPEP;África;Sudão;1,5;2019
NÃO OPEP;África;Sudão;1,5;2020
NÃO OPEP;África;Sudão do Sul;0;2011
NÃO OPEP;África;Sudão do Sul;3,5;2012
NÃO OPEP;África;Sudão do Sul;3,5;2013
NÃO OPEP;África;Sudão do Sul;3,5;2014
NÃO OPEP;África;Sudão do Sul;3,5;2015
NÃO OPEP;África;Sudão do Sul;3,5;2016
NÃO OPEP;África;Sudão do Sul;3,5;2017
NÃO OPEP;África;Sudão do Sul;3,5;2018
NÃO OPEP;África;Sudão do Sul;3,5;2019
NÃO OPEP;África;Sudão do Sul;3,5;2020
NÃO OPEP;África;Tunísia;0,4;2011
NÃO OPEP;África;Tunísia;0,425;2012
NÃO OPEP;África;Tunísia;0,425;2013
NÃO OPEP;África;Tunísia;0,425;2014
NÃO OPEP;África;Tunísia;0,425;2015
NÃO OPEP;África;Tunísia;0,425;2016
NÃO OPEP;África;Tunísia;0,425;2017
NÃO OPEP;África;Tunísia;0,425;2018
NÃO OPEP;África;Tunísia;0,425;2019
NÃO OPEP;África;Tunísia;0,425;2020
NÃO OPEP;África;Outros;2,2;2011
NÃO OPEP;África;Outros;3,673112;2012
NÃO OPEP;África;Outros;3,673412;2013
NÃO OPEP;África;Outros;3,749648667;2014
NÃO OPEP;África;Outros;3,998975333;2015
NÃO OPEP;África;Outros;3,951572;2016
NÃO OPEP;África;Outros;3,885970988;2017
NÃO OPEP;África;Outros;3,807370084;2018
NÃO OPEP;África;Outros;3,738883922;2019
NÃO OPEP;África;Outros;3,822950082;2020
NÃO OPEP;Ásia-Pacífico;Austrália;3,9;2011
NÃO OPEP;Ásia-Pacífico;Austrália;3,921967461;2012
NÃO OPEP;Ásia-Pacífico;Austrália;3,957498602;2013
NÃO OPEP;Ásia-Pacífico;Austrália;2,390342096;2014
NÃO OPEP;Ásia-Pacífico;Austrália;2,390342096;2015
NÃO OPEP;Ásia-Pacífico;Austrália;2,390342096;2016
NÃO OPEP;Ásia-Pacífico;Austrália;2,390342096;2017
NÃO OPEP;Ásia-Pacífico;Austrália;2,390342096;2018
NÃO OPEP;Ásia-Pacífico;Austrália;2,390342096;2019
NÃO OPEP;Ásia-Pacífico;Austrália;2,390342096;2020
NÃO OPEP;Ásia-Pacífico;Brunei;1,1;2011
NÃO OPEP;Ásia-Pacífico;Brunei;1,1;2012
NÃO OPEP;Ásia-Pacífico;Brunei;1,1;2013
NÃO OPEP;Ásia-Pacífico;Brunei;1,1;2014
NÃO OPEP;Ásia-Pacífico;Brunei;1,1;2015
NÃO OPEP;Ásia-Pacífico;Brunei;1,1;2016
NÃO OPEP;Ásia-Pacífico;Brunei;1,1;2017
NÃO OPEP;Ásia-Pacífico;Brunei;1,1;2018
NÃO OPEP;Ásia-Pacífico;Brunei;1,1;2019
NÃO OPEP;Ásia-Pacífico;Brunei;1,1;2020
NÃO OPEP;Ásia-Pacífico;China;23,7;2011
NÃO OPEP;Ásia-Pacífico;China;24,42783559;2012
NÃO OPEP;Ásia-Pacífico;China;24,68251497;2013
NÃO OPEP;Ásia-Pacífico;China;25,1664555;2014
