GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PREÇO MÉDIO1 DA GASOLINA C AO CONSUMIDOR;ANO
Região Nordeste;Rio Grande do Norte;3,863583333;2017
Região Nordeste;Rio Grande do Norte;4,419083333;2018
Região Nordeste;Rio Grande do Norte;4,485666667;2019
Região Nordeste;Rio Grande do Norte;4,476636364;2020
Região Nordeste;Rio Grande do Norte;6,087833333;2021
Região Nordeste;Paraíba;2,604;2012
Região Nordeste;Paraíba;2,775583333;2013
Região Nordeste;Paraíba;2,85925;2014
Região Nordeste;Paraíba;3,193;2015
Região Nordeste;Paraíba;3,658166667;2016
Região Nordeste;Paraíba;3,652333333;2017
Região Nordeste;Paraíba;4,229083333;2018
Região Nordeste;Paraíba;4,274666667;2019
Região Nordeste;Paraíba;4,065363636;2020
Região Nordeste;Paraíba;5,596;2021
Região Nordeste;Pernambuco;2,724;2012
Região Nordeste;Pernambuco;2,834333333;2013
Região Nordeste;Pernambuco;2,934083333;2014
Região Nordeste;Pernambuco;3,376083333;2015
Região Nordeste;Pernambuco;3,695333333;2016
Região Nordeste;Pernambuco;3,672583333;2017
Região Nordeste;Pernambuco;4,3;2018
Região Nordeste;Pernambuco;4,323333333;2019
Região Nordeste;Pernambuco;4,269363636;2020
Região Nordeste;Pernambuco;5,747916667;2021
Região Nordeste;Alagoas;2,763;2012
Região Nordeste;Alagoas;2,885333333;2013
Região Nordeste;Alagoas;3,002416667;2014
Região Nordeste;Alagoas;3,382333333;2015
Região Nordeste;Alagoas;3,777583333;2016
Região Nordeste;Alagoas;3,883916667;2017
Região Nordeste;Alagoas;4,542916667;2018
Região Nordeste;Alagoas;4,5245;2019
Região Nordeste;Alagoas;4,412;2020
Região Nordeste;Alagoas;5,862916667;2021
Região Nordeste;Sergipe;2,748;2012
Região Nordeste;Sergipe;2,883916667;2013
Região Nordeste;Sergipe;2,936583333;2014
Região Nordeste;Sergipe;3,366333333;2015
Região Nordeste;Sergipe;3,676166667;2016
Região Nordeste;Sergipe;3,707416667;2017
Região Nordeste;Sergipe;4,41525;2018
Região Nordeste;Sergipe;4,38725;2019
Região Nordeste;Sergipe;4,417;2020
Região Nordeste;Sergipe;5,81825;2021
Região Nordeste;Bahia;2,734;2012
Região Nordeste;Bahia;2,89825;2013
Região Nordeste;Bahia;3,017;2014
Região Nordeste;Bahia;3,515;2015
Região Nordeste;Bahia;3,775666667;2016
Região Nordeste;Bahia;3,816;2017
Região Nordeste;Bahia;4,511083333;2018
Região Nordeste;Bahia;4,550166667;2019
Região Nordeste;Bahia;4,356181818;2020
Região Nordeste;Bahia;5,88175;2021
Região Sudeste;Minas Gerais;2,811;2012
Região Sudeste;Minas Gerais;2,890833333;2013
Região Sudeste;Minas Gerais;2,976333333;2014
Região Sudeste;Minas Gerais;3,372916667;2015
Região Sudeste;Minas Gerais;3,71325;2016
Região Sudeste;Minas Gerais;3,848666667;2017
Região Sudeste;Minas Gerais;4,67025;2018
Região Sudeste;Minas Gerais;4,660583333;2019
Região Sudeste;Minas Gerais;4,446636364;2020
Região Sudeste;Minas Gerais;6,004666667;2021
Região Sudeste;Espírito Santo;2,831;2012
Região Sudeste;Espírito Santo;2,890833333;2013
Região Sudeste;Espírito Santo;3,001916667;2014
Região Sudeste;Espírito Santo;3,3815;2015
Região Sudeste;Espírito Santo;3,676333333;2016
Região Sudeste;Espírito Santo;3,774416667;2017
Região Sudeste;Espírito Santo;4,37525;2018
Região Sudeste;Espírito Santo;4,458666667;2019
Região Sudeste;Espírito Santo;4,204090909;2020
Região Sudeste;Espírito Santo;5,854916667;2021
Região Sudeste;Rio de Janeiro;2,853;2012
Região Sudeste;Rio de Janeiro;2,997416667;2013
Região Sudeste;Rio de Janeiro;3,133;2014
Região Sudeste;Rio de Janeiro;3,547166667;2015
Região Sudeste;Rio de Janeiro;3,918916667;2016
Região Sudeste;Rio de Janeiro;4,107416667;2017
Região Sudeste;Rio de Janeiro;4,851833333;2018
Região Sudeste;Rio de Janeiro;4,855583333;2019
Região Sudeste;Rio de Janeiro;4,761454545;2020
Região Sudeste;Rio de Janeiro;6,2965;2021
Região Sudeste;São Paulo;2,637;2012
Região Sudeste;São Paulo;2,734583333;2013
Região Sudeste;São Paulo;2,865833333;2014
Região Sudeste;São Paulo;3,186;2015
Região Sudeste;São Paulo;3,4995;2016
Região Sudeste;São Paulo;3,57925;2017
Região Sudeste;São Paulo;4,193;2018
Região Sudeste;São Paulo;4,135833333;2019
Região Sudeste;São Paulo;4,091;2020
Região Sudeste;São Paulo;5,476916667;2021
Região Sul;Paraná;2,686;2012
Região Sul;Paraná;2,8375;2013
Região Sul;Paraná;2,953333333;2014
Região Sul;Paraná;3,292;2015
Região Sul;Paraná;3,632333333;2016
Região Sul;Paraná;3,695;2017
Região Sul;Paraná;4,2725;2018
Região Sul;Paraná;4,172416667;2019
Região Sul;Paraná;4,023;2020
Região Sul;Paraná;5,531416667;2021
Região Sul;Santa Catarina;2,72;2012
Região Sul;Santa Catarina;2,848833333;2013
Região Sul;Santa Catarina;2,957083333;2014
Região Sul;Santa Catarina;3,257833333;2015
Região Sul;Santa Catarina;3,518083333;2016
Região Sul;Santa Catarina;3,6565;2017
Região Sul;Santa Catarina;4,102583333;2018
Região Sul;Santa Catarina;4,076416667;2019
Região Sul;Santa Catarina;4,154636364;2020
Região Sul;Santa Catarina;5,55925;2021
Região Sul;Rio Grande do Sul;2,759;2012
Região Sul;Rio Grande do Sul;2,866916667;2013
Região Sul;Rio Grande do Sul;2,961583333;2014
Região Sul;Rio Grande do Sul;3,357333333;2015
Região Sul;Rio Grande do Sul;3,874166667;2016
Região Sul;Rio Grande do Sul;3,912666667;2017
Região Sul;Rio Grande do Sul;4,5865;2018
Região Sul;Rio Grande do Sul;4,513833333;2019
Região Sul;Rio Grande do Sul;4,348363636;2020
Região Sul;Rio Grande do Sul;6,006;2021
Região Centro-Oeste;Mato Grosso do Sul;2,781;2012
Região Centro-Oeste;Mato Grosso do Sul;3,000166667;2013
Região Centro-Oeste;Mato Grosso do Sul;3,076916667;2014
Região Centro-Oeste;Mato Grosso do Sul;3,3505;2015
Região Centro-Oeste;Mato Grosso do Sul;3,514083333;2016
Região Centro-Oeste;Mato Grosso do Sul;3,69775;2017
Região Centro-Oeste;Mato Grosso do Sul;4,2425;2018
Região Centro-Oeste;Mato Grosso do Sul;4,1405;2019
Região Centro-Oeste;Mato Grosso do Sul;4,321181818;2020
Região Centro-Oeste;Mato Grosso do Sul;5,776416667;2021
Região Centro-Oeste;Mato Grosso;2,97;2012
Região Centro-Oeste;Mato Grosso;3,017583333;2013
Região Centro-Oeste;Mato Grosso;3,10975;2014
Região Centro-Oeste;Mato Grosso;3,385416667;2015
Região Centro-Oeste;Mato Grosso;3,72025;2016
Região Centro-Oeste;Mato Grosso;3,80675;2017
Região Centro-Oeste;Mato Grosso;4,503666667;2018
Região Centro-Oeste;Mato Grosso;4,496;2019
Região Centro-Oeste;Mato Grosso;4,341636364;2020
Região Centro-Oeste;Mato Grosso;5,78075;2021
Região Centro-Oeste;Goiás;2,767;2012
Região Centro-Oeste;Goiás;2,89525;2013
Região Centro-Oeste;Goiás;3,1005;2014
Região Centro-Oeste;Goiás;3,407916667;2015
Região Centro-Oeste;Goiás;3,80975;2016
Região Centro-Oeste;Goiás;3,923416667;2017
Região Centro-Oeste;Goiás;4,6065;2018
Região Centro-Oeste;Goiás;4,522333333;2019
Região Centro-Oeste;Goiás;4,434454545;2020
Região Centro-Oeste;Goiás;6,072416667;2021
Região Centro-Oeste;Distrito Federal;2,836;2012
Região Centro-Oeste;Distrito Federal;2,981666667;2013
Região Centro-Oeste;Distrito Federal;3,123416667;2014
Região Centro-Oeste;Distrito Federal;3,542166667;2015
Região Centro-Oeste;Distrito Federal;3,691083333;2016
Região Centro-Oeste;Distrito Federal;3,74775;2017
Região Centro-Oeste;Distrito Federal;4,453666667;2018
Região Centro-Oeste;Distrito Federal;4,288583333;2019
Região Centro-Oeste;Distrito Federal;4,200181818;2020
Região Centro-Oeste;Distrito Federal;5,985833333;2021
