GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;VENDAS DE QUEROSENE ILUMINANTE PELAS DISTRIBUIDORAS;ANO
Região Sul ;Paraná ;149,5;2019
Região Sul ;Paraná ;141;2020
Região Sul ;Paraná ;124,5;2021
Região Sul ;Santa Catarina ;2350;2012
Região Sul ;Santa Catarina ;1949,6;2013
Região Sul ;Santa Catarina ;1704,55;2014
Região Sul ;Santa Catarina ;1529,5;2015
Região Sul ;Santa Catarina ;1337;2016
Região Sul ;Santa Catarina ;1400,696;2017
Região Sul ;Santa Catarina ;1391;2018
Região Sul ;Santa Catarina ;1123;2019
Região Sul ;Santa Catarina ;1036;2020
Região Sul ;Santa Catarina ;1086;2021
Região Sul ;Rio Grande do Sul ;1900;2012
Região Sul ;Rio Grande do Sul ;1437,7;2013
Região Sul ;Rio Grande do Sul ;1215,8;2014
Região Sul ;Rio Grande do Sul ;928,4;2015
Região Sul ;Rio Grande do Sul ;927,8;2016
Região Sul ;Rio Grande do Sul ;874,03;2017
Região Sul ;Rio Grande do Sul ;807;2018
Região Sul ;Rio Grande do Sul ;750;2019
Região Sul ;Rio Grande do Sul ;798;2020
Região Sul ;Rio Grande do Sul ;706;2021
Região Centro-Oeste ;Mato Grosso do Sul ;0;2012
Região Centro-Oeste ;Mato Grosso do Sul ;0;2013
Região Centro-Oeste ;Mato Grosso do Sul ;0;2014
Região Centro-Oeste ;Mato Grosso do Sul ;0;2015
Região Centro-Oeste ;Mato Grosso do Sul ;0;2016
Região Centro-Oeste ;Mato Grosso do Sul ;0;2017
Região Centro-Oeste ;Mato Grosso do Sul ;0;2018
Região Centro-Oeste ;Mato Grosso do Sul ;0;2019
Região Centro-Oeste ;Mato Grosso do Sul ;0;2020
Região Centro-Oeste ;Mato Grosso do Sul ;0;2021
Região Centro-Oeste ;Mato Grosso ;88;2012
Região Centro-Oeste ;Mato Grosso ;122;2013
Região Centro-Oeste ;Mato Grosso ;139,5;2014
Região Centro-Oeste ;Mato Grosso ;0;2015
Região Centro-Oeste ;Mato Grosso ;0;2016
Região Centro-Oeste ;Mato Grosso ;0;2017
Região Centro-Oeste ;Mato Grosso ;0;2018
Região Centro-Oeste ;Mato Grosso ;0;2019
Região Centro-Oeste ;Mato Grosso ;0;2020
Região Centro-Oeste ;Mato Grosso ;0;2021
Região Centro-Oeste ;Goiás ;75;2012
Região Centro-Oeste ;Goiás ;55;2013
Região Centro-Oeste ;Goiás ;30;2014
Região Centro-Oeste ;Goiás ;20;2015
Região Centro-Oeste ;Goiás ;0;2016
Região Centro-Oeste ;Goiás ;0;2017
Região Centro-Oeste ;Goiás ;0;2018
Região Centro-Oeste ;Goiás ;0;2019
Região Centro-Oeste ;Goiás ;0;2020
Região Centro-Oeste ;Goiás ;0;2021
Região Centro-Oeste ;Distrito Federal ;0;2012
Região Centro-Oeste ;Distrito Federal ;0;2013
Região Centro-Oeste ;Distrito Federal ;0;2014
Região Centro-Oeste ;Distrito Federal ;0;2015
Região Centro-Oeste ;Distrito Federal ;0;2016
Região Centro-Oeste ;Distrito Federal ;0;2017
Região Centro-Oeste ;Distrito Federal ;0;2018
Região Centro-Oeste ;Distrito Federal ;0;2019
Região Centro-Oeste ;Distrito Federal ;0;2020
Região Centro-Oeste ;Distrito Federal ;0;2021
