TIPO DE DADO;ANO;RODADA DE LICITAÇÃO;VALOR DA VARIÁVEL
Empresas habilitadas estrangeiras;2018;Partilha 4;14
Empresas habilitadas estrangeiras;2018;Partilha 5;11
Empresas habilitadas estrangeiras;2019;Partilha 6;15
Empresas habilitadas estrangeiras;2019;Excedente da Cessão Onerosa;13
Empresas habilitadas estrangeiras;2021;Segunda Rodada do Excedente da Cessão Onerosa;8
Empresas ofertantes;2013;Partilha 1;5
Empresas ofertantes;2017;Partilha 2;8
Empresas ofertantes;2017;Partilha 3;8
Empresas ofertantes;2018;Partilha 4;11
Empresas ofertantes;2018;Partilha 5;10
Empresas ofertantes;2019;Partilha 6;2
Empresas ofertantes;2019;Excedente da Cessão Onerosa;3
Empresas ofertantes;2021;Segunda Rodada do Excedente da Cessão Onerosa;5
Empresas ofertantes nacionais;2013;Partilha 1;1
Empresas ofertantes nacionais;2017;Partilha 2;2
Empresas ofertantes nacionais;2017;Partilha 3;1
Empresas ofertantes nacionais;2018;Partilha 4;1
Empresas ofertantes nacionais;2018;Partilha 5;1
Empresas ofertantes nacionais;2019;Partilha 6;1
Empresas ofertantes nacionais;2019;Excedente da Cessão Onerosa;1
Empresas ofertantes nacionais;2021;Segunda Rodada do Excedente da Cessão Onerosa;1
Empresas ofertantes estrangeiras;2013;Partilha 1;4
Empresas ofertantes estrangeiras;2017;Partilha 2;6
Empresas ofertantes estrangeiras;2017;Partilha 3;7
Empresas ofertantes estrangeiras;2018;Partilha 4;10
Empresas ofertantes estrangeiras;2018;Partilha 5;9
Empresas ofertantes estrangeiras;2019;Partilha 6;1
Empresas ofertantes estrangeiras;2019;Excedente da Cessão Onerosa;2
Empresas ofertantes estrangeiras;2021;Segunda Rodada do Excedente da Cessão Onerosa;4
Empresas vencedoras;2013;Partilha 1;5
Empresas vencedoras;2017;Partilha 2;7
Empresas vencedoras;2017;Partilha 3;6
Empresas vencedoras;2018;Partilha 4;7
Empresas vencedoras;2018;Partilha 5;8
Empresas vencedoras;2019;Partilha 6;2
Empresas vencedoras;2019;Excedente da Cessão Onerosa;3
Empresas vencedoras;2021;Segunda Rodada do Excedente da Cessão Onerosa;5
Empresas vencedoras nacionais;2013;Partilha 1;1
Empresas vencedoras nacionais;2017;Partilha 2;1
Empresas vencedoras nacionais;2017;Partilha 3;1
Empresas vencedoras nacionais;2018;Partilha 4;1
Empresas vencedoras nacionais;2018;Partilha 5;1
Empresas vencedoras nacionais;2019;Partilha 6;1
Empresas vencedoras nacionais;2019;Excedente da Cessão Onerosa;1
Empresas vencedoras nacionais;2021;Segunda Rodada do Excedente da Cessão Onerosa;1
Empresas vencedoras estrangeiras;2013;Partilha 1;4
Empresas vencedoras estrangeiras;2017;Partilha 2;6
Empresas vencedoras estrangeiras;2017;Partilha 3;5
Empresas vencedoras estrangeiras;2018;Partilha 4;6
Empresas vencedoras estrangeiras;2018;Partilha 5;7
Empresas vencedoras estrangeiras;2019;Partilha 6;1
Empresas vencedoras estrangeiras;2019;Excedente da Cessão Onerosa;2
Empresas vencedoras estrangeiras;2021;Segunda Rodada do Excedente da Cessão Onerosa;4
Conteúdo local médio – fase de exploração (%);2013;Partilha 1;37%
Conteúdo local médio – fase de exploração (%);2017;Partilha 2;41%
Conteúdo local médio – fase de exploração (%);2017;Partilha 3;18%
Conteúdo local médio – fase de exploração (%);2018;Partilha 4;18%
Conteúdo local médio – fase de exploração (%);2018;Partilha 5;18%
Conteúdo local médio – fase de exploração (%);2019;Partilha 6;18%
Conteúdo local médio – fase de exploração (%);2019;Excedente da Cessão Onerosa;-
Conteúdo local médio – fase de exploração (%);2021;Segunda Rodada do Excedente da Cessão Onerosa;-
Conteúdo local médio – etapa de desenvolvimento da produção (%);2013;Partilha 1;57%
Conteúdo local médio – etapa de desenvolvimento da produção (%);2017;Partilha 2;46%
Conteúdo local médio – etapa de desenvolvimento da produção (%);2017;Partilha 3;30%
Conteúdo local médio – etapa de desenvolvimento da produção (%);2018;Partilha 4;30%
Conteúdo local médio – etapa de desenvolvimento da produção (%);2018;Partilha 5;30%
Conteúdo local médio – etapa de desenvolvimento da produção (%);2019;Partilha 6;30%
Conteúdo local médio – etapa de desenvolvimento da produção (%);2019;Excedente da Cessão Onerosa;30%
Conteúdo local médio – etapa de desenvolvimento da produção (%);2021;Segunda Rodada do Excedente da Cessão Onerosa;30%
Bônus de assinatura (milhões de R$);2013;Partilha 1;15.000
Bônus de assinatura (milhões de R$);2017;Partilha 2;3.300
Bônus de assinatura (milhões de R$);2017;Partilha 3;2.850
Bônus de assinatura (milhões de R$);2018;Partilha 4;3.150
Bônus de assinatura (milhões de R$);2018;Partilha 5;6.820
Bônus de assinatura (milhões de R$);2019;Partilha 6;5.050
Bônus de assinatura (milhões de R$);2019;Excedente da Cessão Onerosa;69.960
Bônus de assinatura (milhões de R$);2021;Segunda Rodada do Excedente da Cessão Onerosa;11.140
PEM (milhões de R$);2013;Partilha 1;611
PEM (milhões de R$);2017;Partilha 2;304
PEM (milhões de R$);2017;Partilha 3;456
PEM (milhões de R$);2018;Partilha 4;738
PEM (milhões de R$);2018;Partilha 5;1.000
PEM (milhões de R$);2019;Partilha 6;278
PEM (milhões de R$);2019;Excedente da Cessão Onerosa; -
PEM (milhões de R$);2021;Segunda Rodada do Excedente da Cessão Onerosa;-
