GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;VENDAS DE ÓLEO COMBUSTÍVEL PELAS DISTRIBUIDORAS;ANO
Região Sudeste ;Rio de Janeiro ;31017,405;2013
Região Sudeste ;Rio de Janeiro ;28206,358;2014
Região Sudeste ;Rio de Janeiro ;21863,906;2015
Região Sudeste ;Rio de Janeiro ;14722,364;2016
Região Sudeste ;Rio de Janeiro ;33409,826;2017
Região Sudeste ;Rio de Janeiro ;11015,091;2018
Região Sudeste ;Rio de Janeiro ;12378,822;2019
Região Sudeste ;Rio de Janeiro ;14149,556;2020
Região Sudeste ;Rio de Janeiro ;14363,175;2021
Região Sudeste ;São Paulo ;450563;2012
Região Sudeste ;São Paulo ;359872,525;2013
Região Sudeste ;São Paulo ;335150,053;2014
Região Sudeste ;São Paulo ;283296,882;2015
Região Sudeste ;São Paulo ;233886,347;2016
Região Sudeste ;São Paulo ;224706,421;2017
Região Sudeste ;São Paulo ;195306,409;2018
Região Sudeste ;São Paulo ;151794,36;2019
Região Sudeste ;São Paulo ;127186,026;2020
Região Sudeste ;São Paulo ;137847,382;2021
Região Sul ;Paraná ;110596;2012
Região Sul ;Paraná ;152588,871;2013
Região Sul ;Paraná ;127806,234;2014
Região Sul ;Paraná ;103456,264;2015
Região Sul ;Paraná ;176340,091;2016
Região Sul ;Paraná ;159982,243;2017
Região Sul ;Paraná ;144642,822;2018
Região Sul ;Paraná ;150534,278;2019
Região Sul ;Paraná ;161272,4;2020
Região Sul ;Paraná ;160550,134;2021
Região Sul ;Santa Catarina ;63028;2012
Região Sul ;Santa Catarina ;59611,733;2013
Região Sul ;Santa Catarina ;65032,895;2014
Região Sul ;Santa Catarina ;51368,808;2015
Região Sul ;Santa Catarina ;39138,376;2016
Região Sul ;Santa Catarina ;44661,161;2017
Região Sul ;Santa Catarina ;34896,088;2018
Região Sul ;Santa Catarina ;33032,786;2019
Região Sul ;Santa Catarina ;34521,74;2020
Região Sul ;Santa Catarina ;39087,52;2021
Região Sul ;Rio Grande do Sul ;133151;2012
Região Sul ;Rio Grande do Sul ;119947,238;2013
Região Sul ;Rio Grande do Sul ;117505,045;2014
Região Sul ;Rio Grande do Sul ;128507,778;2015
Região Sul ;Rio Grande do Sul ;95601,767;2016
Região Sul ;Rio Grande do Sul ;75768,651;2017
Região Sul ;Rio Grande do Sul ;56918,525;2018
Região Sul ;Rio Grande do Sul ;57320,739;2019
Região Sul ;Rio Grande do Sul ;45675,197;2020
Região Sul ;Rio Grande do Sul ;47848,438;2021
Região Centro-Oeste ;Mato Grosso do Sul ;32428;2012
Região Centro-Oeste ;Mato Grosso do Sul ;79283,48;2013
Região Centro-Oeste ;Mato Grosso do Sul ;79874,385;2014
Região Centro-Oeste ;Mato Grosso do Sul ;61228;2015
Região Centro-Oeste ;Mato Grosso do Sul ;28937,58;2016
Região Centro-Oeste ;Mato Grosso do Sul ;17447,746;2017
Região Centro-Oeste ;Mato Grosso do Sul ;11592,86;2018
Região Centro-Oeste ;Mato Grosso do Sul ;8079,34;2019
Região Centro-Oeste ;Mato Grosso do Sul ;8855,71;2020
Região Centro-Oeste ;Mato Grosso do Sul ;10678,87;2021
Região Centro-Oeste ;Mato Grosso ;5406;2012
Região Centro-Oeste ;Mato Grosso ;3323,65;2013
Região Centro-Oeste ;Mato Grosso ;3153,448;2014
Região Centro-Oeste ;Mato Grosso ;251,82;2015
Região Centro-Oeste ;Mato Grosso ;0;2016
Região Centro-Oeste ;Mato Grosso ;704,68;2017
Região Centro-Oeste ;Mato Grosso ;538,37;2018
Região Centro-Oeste ;Mato Grosso ;366,87;2019
Região Centro-Oeste ;Mato Grosso ;202,99;2020
Região Centro-Oeste ;Mato Grosso ;130,28;2021
Região Centro-Oeste ;Goiás ;327375;2012
Região Centro-Oeste ;Goiás ;328887,197;2013
Região Centro-Oeste ;Goiás ;323645,109;2014
Região Centro-Oeste ;Goiás ;229666,545;2015
Região Centro-Oeste ;Goiás ;192036,179;2016
Região Centro-Oeste ;Goiás ;118634,018;2017
Região Centro-Oeste ;Goiás ;82875,213;2018
Região Centro-Oeste ;Goiás ;60434,671;2019
Região Centro-Oeste ;Goiás ;58048,789;2020
Região Centro-Oeste ;Goiás ;60233,96;2021
Região Centro-Oeste ;Distrito Federal ;9300;2012
Região Centro-Oeste ;Distrito Federal ;4518,205;2013
Região Centro-Oeste ;Distrito Federal ;3422,85;2014
Região Centro-Oeste ;Distrito Federal ;994,99;2015
Região Centro-Oeste ;Distrito Federal ;741,69;2016
Região Centro-Oeste ;Distrito Federal ;783,81;2017
Região Centro-Oeste ;Distrito Federal ;682,363;2018
Região Centro-Oeste ;Distrito Federal ;709,641;2019
Região Centro-Oeste ;Distrito Federal ;807,142;2020
Região Centro-Oeste ;Distrito Federal ;692,093;2021
