REGIÃO GEOGRÁFICA;PAÍS;IMPORTAÇÃO DE PETRÓLEO;ANO
África;Argélia;8959,833161;2021
África;Guiné Equatorial;1354;2012
África;Guiné Equatorial;8197,845;2013
África;Guiné Equatorial;6395,377584;2014
África;Guiné Equatorial;5947,329515;2015
África;Guiné Equatorial;2075,088109;2016
África;Guiné Equatorial;1037,059135;2017
África;Guiné Equatorial;0;2018
África;Guiné Equatorial;0;2019
África;Guiné Equatorial;0;2020
África;Guiné Equatorial;0;2021
África;Líbia;0;2012
África;Líbia;1205,298;2013
África;Líbia;0;2014
África;Líbia;0;2015
África;Líbia;0;2016
África;Líbia;523,426923;2017
África;Líbia;385,2559048;2018
África;Líbia;1375,241951;2019
África;Líbia;342,8669704;2020
África;Líbia;0;2021
África;Nigéria;62334;2012
África;Nigéria;79078,405;2013
África;Nigéria;75532,96388;2014
África;Nigéria;62297,48078;2015
África;Nigéria;22308,4785;2016
África;Nigéria;7842,971213;2017
África;Nigéria;17077,46998;2018
África;Nigéria;9843,864972;2019
África;Nigéria;4969,09865;2020
África;Nigéria;8736,598547;2021
Ásia-Pacífico;Austrália;2807;2012
Ásia-Pacífico;Austrália;3140,345;2013
Ásia-Pacífico;Austrália;1960,419402;2014
Ásia-Pacífico;Austrália;2808,403683;2015
Ásia-Pacífico;Austrália;1182,995695;2016
Ásia-Pacífico;Austrália;450,5960655;2017
Ásia-Pacífico;Austrália;0;2018
Ásia-Pacífico;Austrália;0;2019
Ásia-Pacífico;Austrália;0;2020
Ásia-Pacífico;Austrália;0;2021
Ásia-Pacífico;Indonésia;552;2012
Ásia-Pacífico;Indonésia;0;2013
Ásia-Pacífico;Indonésia;644,7513429;2014
Ásia-Pacífico;Indonésia;0;2015
Ásia-Pacífico;Indonésia;0;2016
Ásia-Pacífico;Indonésia;0;2017
Ásia-Pacífico;Indonésia;0;2018
Ásia-Pacífico;Indonésia;0;2019
Ásia-Pacífico;Indonésia;0;2020
Ásia-Pacífico;Indonésia;0;2021
Ásia-Pacífico;Japão;0;2012
Ásia-Pacífico;Japão;491,828;2013
Ásia-Pacífico;Japão;0;2014
Ásia-Pacífico;Japão;0;2015
Ásia-Pacífico;Japão;0;2016
Ásia-Pacífico;Japão;0;2017
Ásia-Pacífico;Japão;0;2018
Ásia-Pacífico;Japão;0;2019
Ásia-Pacífico;Japão;7,39978E-06;2020
Ásia-Pacífico;Japão;1,47996E-05;2021
