BENIFICIÁRIO;ANO;DISTRIBUIÇÃO DE ROYALTIES SOBRE A PRODUÇÃO DE PETRÓLEO E DE GÁS NATURAL
Estado de Espírito Santo;2014;837617,4896
Estado de Espírito Santo;2015;624782,4194
Estado de Espírito Santo;2016;508722,9895
Estado de Espírito Santo;2017;618171,1863
Estado de Espírito Santo;2018;846465,4746
Estado de Espírito Santo;2019;691166,2313
Estado de Espírito Santo;2020;522995,9753
Estado de Espírito Santo;2021;760910,1615
Estado de Paraná;2012;0
Estado de Paraná;2013;6660,16
Estado de Paraná;2014;8485,68634
Estado de Paraná;2015;5405,06949
Estado de Paraná;2016;4032,35824
Estado de Paraná;2017;4811,964
Estado de Paraná;2018;7497,14822
Estado de Paraná;2019;5590,68143
Estado de Paraná;2020;5727,3327
Estado de Paraná;2021;10257,17938
Estado de Rio de Janeiro;2012;2963582
Estado de Rio de Janeiro;2013;2982024,87
Estado de Rio de Janeiro;2014;3213771,454
Estado de Rio de Janeiro;2015;2308763,476
Estado de Rio de Janeiro;2016;1985993,415
Estado de Rio de Janeiro;2017;2651067,339
Estado de Rio de Janeiro;2018;4196824,234
Estado de Rio de Janeiro;2019;4509030,445
Estado de Rio de Janeiro;2020;4775318,044
Estado de Rio de Janeiro;2021;7776220,078
Estado de Rio Grande do Norte;2012;248237
Estado de Rio Grande do Norte;2013;269486,77
Estado de Rio Grande do Norte;2014;275422,1523
Estado de Rio Grande do Norte;2015;175939,0917
Estado de Rio Grande do Norte;2016;131254,9406
Estado de Rio Grande do Norte;2017;139111,7199
Estado de Rio Grande do Norte;2018;186213,094
Estado de Rio Grande do Norte;2019;173110,8778
Estado de Rio Grande do Norte;2020;130442,229
Estado de Rio Grande do Norte;2021;230038,7937
Estado de Sergipe;2012;153902
Estado de Sergipe;2013;155748,77
Estado de Sergipe;2014;166782,5825
Estado de Sergipe;2015;97724,53427
Estado de Sergipe;2016;69811,02596
Estado de Sergipe;2017;69909,6396
Estado de Sergipe;2018;84460,93547
Estado de Sergipe;2019;65165,78057
Estado de Sergipe;2020;48491,84053
Estado de Sergipe;2021;56988,16369
Estado de São Paulo;2012;83082
Estado de São Paulo;2013;147771,23
Estado de São Paulo;2014;361863,2026
Estado de São Paulo;2015;405523,6435
Estado de São Paulo;2016;370281,2722
Estado de São Paulo;2017;509530,1709
Estado de São Paulo;2018;769402,2603
Estado de São Paulo;2019;680184,138
Estado de São Paulo;2020;579299,4983
Estado de São Paulo;2021;953292,8773
Municípios de Alagoas;2012;36267
Municípios de Alagoas;2013;62229,74355
Municípios de Alagoas;2014;81309,05454
Municípios de Alagoas;2015;69448,9961
Municípios de Alagoas;2016;69257,7253
Municípios de Alagoas;2017;73836,21596
Municípios de Alagoas;2018;116468,9972
Municípios de Alagoas;2019;104150,6565
Municípios de Alagoas;2020;130662,5281
Municípios de Alagoas;2021;211630,928
Municípios de Amazonas;2012;93505
Municípios de Amazonas;2013;88900,75148
Municípios de Amazonas;2014;86180,68751
Municípios de Amazonas;2015;61476,90163
Municípios de Amazonas;2016;49715,9141
Municípios de Amazonas;2017;83020,53727
Municípios de Amazonas;2018;116854,6333
Municípios de Amazonas;2019;103926,2599
Municípios de Amazonas;2020;98144,05866
Municípios de Amazonas;2021;180162,0777
Municípios de Amapá;2012;321
Municípios de Amapá;2013;319,74939
Municípios de Amapá;2014;349,27935
Municípios de Amapá;2015;218,55534
Municípios de Amapá;2016;147,06768
Municípios de Amapá;2017;249,40179
Municípios de Amapá;2018;279,1153482
Municípios de Amapá;2019;154,20363
Municípios de Amapá;2020;95,77088
Municípios de Amapá;2021;205,13898
Municípios de Maranhão;2012;0
Municípios de Maranhão;2013;9380,10657
Municípios de Maranhão;2014;19570,59747
Municípios de Maranhão;2015;12613,42614
Municípios de Maranhão;2016;19420,16387
Municípios de Maranhão;2017;31754,43522
Municípios de Maranhão;2018;70166,91972
Municípios de Maranhão;2019;48836,998
Municípios de Maranhão;2020;46209,4859
Municípios de Maranhão;2021;91280,24217
Municípios de Mato Grosso do Sul;2012;0
Municípios de Mato Grosso do Sul;2013;0
Municípios de Mato Grosso do Sul;2014;0
Municípios de Mato Grosso do Sul;2015;0
Municípios de Mato Grosso do Sul;2016;0
Municípios de Mato Grosso do Sul;2017;0
Municípios de Mato Grosso do Sul;2018;0
Municípios de Mato Grosso do Sul;2019;0
Municípios de Mato Grosso do Sul;2020;0
Municípios de Mato Grosso do Sul;2021;503,59483
Municípios de Bahia;2012;187116
Municípios de Bahia;2013;228425,9804
Municípios de Bahia;2014;255639,5299
Municípios de Bahia;2015;170965,6859
Municípios de Bahia;2016;200009,9597
Municípios de Bahia;2017;221861,7147
Municípios de Bahia;2018;368061,4869
Municípios de Bahia;2019;395113,1
Municípios de Bahia;2020;356267,0306
Municípios de Bahia;2021;530524,6873
Municípios de Ceará;2012;38822
Municípios de Ceará;2013;41483,53887
Municípios de Ceará;2014;39922,44133
Municípios de Ceará;2015;31611,62596
Municípios de Ceará;2016;33031,26393
Municípios de Ceará;2017;52469,48119
Municípios de Ceará;2018;106729,503
Municípios de Ceará;2019;97147,2613
Municípios de Ceará;2020;64115,30321
Municípios de Ceará;2021;90935,61693
Municípios de Espírito Santo;2012;726183
Municípios de Espírito Santo;2013;770852,8803
Municípios de Espírito Santo;2014;871231,2096
Municípios de Espírito Santo;2015;650984,2073
Municípios de Espírito Santo;2016;523105,6952
Municípios de Espírito Santo;2017;640175,4019
Municípios de Espírito Santo;2018;883507,0462
Municípios de Espírito Santo;2019;715528,0553
Municípios de Espírito Santo;2020;546978,9961
Municípios de Espírito Santo;2021;862163,0739
Municípios de Minas Gerais;2012;808
Municípios de Minas Gerais;2013;15320,81623
Municípios de Minas Gerais;2014;21942,25198
Municípios de Minas Gerais;2015;16838,52344
Municípios de Minas Gerais;2016;11982,79019
Municípios de Minas Gerais;2017;13321,6367
Municípios de Minas Gerais;2018;12687,65851
Municípios de Minas Gerais;2019;25073,12639
Municípios de Minas Gerais;2020;33948,79176
Municípios de Minas Gerais;2021;69111,65421
Municípios de Pará;2012;1819
Municípios de Pará;2013;1811,91321
Municípios de Pará;2014;1979,24965
Municípios de Pará;2015;1238,48026
Municípios de Pará;2016;833,3822
Municípios de Pará;2017;1413,27681
Municípios de Pará;2018;1581,65364
Municípios de Pará;2019;873,82057
Municípios de Pará;2020;543,73222
Municípios de Pará;2021;1162,45422
Municípios de Paraíba;2012;19212
Municípios de Paraíba;2013;22660,75841
Municípios de Paraíba;2014;31132,37127
Municípios de Paraíba;2015;25683,48884
Municípios de Paraíba;2016;23930,60467
Municípios de Paraíba;2017;31722,21842
Municípios de Paraíba;2018;42455,79431
Municípios de Paraíba;2019;60113,70759
Municípios de Paraíba;2020;59961,31392
Municípios de Paraíba;2021;108721,6706
Municípios de Pernambuco;2012;36851
Municípios de Pernambuco;2013;61028,37477
Municípios de Pernambuco;2014;74879,9832
Municípios de Pernambuco;2015;49400,46524
Municípios de Pernambuco;2016;39430,1108
Municípios de Pernambuco;2017;42029,60512
Municípios de Pernambuco;2018;60695,56684
Municípios de Pernambuco;2019;48441,60517
Municípios de Pernambuco;2020;44524,251
Municípios de Pernambuco;2021;60046,40346
Municípios de Paraná;2012;0
Municípios de Paraná;2013;1902,90537
Municípios de Paraná;2014;2424,48177
Municípios de Paraná;2015;1544,30551
Municípios de Paraná;2016;1152,1023
Municípios de Paraná;2017;3739,42463
Municípios de Paraná;2018;2630,877467
Municípios de Paraná;2019;4169,24657
Municípios de Paraná;2020;2670,16536
Municípios de Paraná;2021;19221,44536
Municípios de Rio de Janeiro;2012;3162708
Municípios de Rio de Janeiro;2013;3159202,033
Municípios de Rio de Janeiro;2014;3409183,104
Municípios de Rio de Janeiro;2015;2470828,321
Municípios de Rio de Janeiro;2016;2128971,954
Municípios de Rio de Janeiro;2017;2800730,497
Municípios de Rio de Janeiro;2018;4451383,619
Municípios de Rio de Janeiro;2019;4768805,889
Municípios de Rio de Janeiro;2020;5180572,874
Municípios de Rio de Janeiro;2021;8624126,627
Municípios de Rio Grande do Norte;2012;231576
Municípios de Rio Grande do Norte;2013;238308,9425
Municípios de Rio Grande do Norte;2014;276130,8765
Municípios de Rio Grande do Norte;2015;212515,519
Municípios de Rio Grande do Norte;2016;158494,8824
Municípios de Rio Grande do Norte;2017;183153,7612
Municípios de Rio Grande do Norte;2018;250719,1217
Municípios de Rio Grande do Norte;2019;226359,5948
Municípios de Rio Grande do Norte;2020;205964,4808
Municípios de Rio Grande do Norte;2021;283581,7009
Municípios de Rio Grande do Sul;2012;125900
Municípios de Rio Grande do Sul;2013;118378,0326
Municípios de Rio Grande do Sul;2014;114675,3205
Municípios de Rio Grande do Sul;2015;77542,06268
Municípios de Rio Grande do Sul;2016;47875,99633
Municípios de Rio Grande do Sul;2017;66429,74945
Municípios de Rio Grande do Sul;2018;89087,99331
Municípios de Rio Grande do Sul;2019;114564,204
Municípios de Rio Grande do Sul;2020;78407,28395
Municípios de Rio Grande do Sul;2021;114956,7282
Municípios de Santa Catarina;2012;56597
Municípios de Santa Catarina;2013;61066,05096
Municípios de Santa Catarina;2014;66047,81165
Municípios de Santa Catarina;2015;44066,62642
Municípios de Santa Catarina;2016;30369,97942
Municípios de Santa Catarina;2017;45664,81292
Municípios de Santa Catarina;2018;69644,82124
Municípios de Santa Catarina;2019;64560,58164
Municípios de Santa Catarina;2020;43231,52391
Municípios de Santa Catarina;2021;62201,34595
Municípios de Sergipe;2012;139910
Municípios de Sergipe;2013;169384,1242
Municípios de Sergipe;2014;209661,5747
Municípios de Sergipe;2015;160783,66
Municípios de Sergipe;2016;141479,7456
Municípios de Sergipe;2017;159411,2824
Municípios de Sergipe;2018;214724,2692
Municípios de Sergipe;2019;192137,0426
Municípios de Sergipe;2020;189232,4164
Municípios de Sergipe;2021;223059,1292
Municípios de São Paulo;2012;455379
Municípios de São Paulo;2013;492078,0714
Municípios de São Paulo;2014;739688,8691
Municípios de São Paulo;2015;670874,6706
Municípios de São Paulo;2016;572432,2809
Municípios de São Paulo;2017;777925,4151
Municípios de São Paulo;2018;1144466,398
Municípios de São Paulo;2019;1091355,756
Municípios de São Paulo;2020;900330,312
Municípios de São Paulo;2021;1280267,55
Depósitos Judiciais1;2012;55374
Depósitos Judiciais1;2013;38558,63451
Depósitos Judiciais1;2014;39330,7
Depósitos Judiciais1;2015;22648,04721
Depósitos Judiciais1;2016;21388,97128
Depósitos Judiciais1;2017;17624,7965
Depósitos Judiciais1;2018;23095,63475
Depósitos Judiciais1;2019;25757,9393
Depósitos Judiciais1;2020;28107,0893
Depósitos Judiciais1;2021;219135,9056
Fundo Especial2;2012;1245480
Fundo Especial2;2013;1293831,36
Fundo Especial2;2014;1480961,051
Fundo Especial2;2015;1120349,316
Fundo Especial2;2016;961771,1327
Fundo Especial2;2017;1265514,46
Fundo Especial2;2018;1944177,783
Fundo Especial2;2019;1960166,971
Fundo Especial2;2020;1886709,783
Fundo Especial2;2021;3174289,814
União;2012;4420353
União;2013;4600445,29
União;2014;5252908,85
União;2015;3953413,055
União;2016;3386540,796
União;2017;4433079,539
União;2018;6812045,682
União;2019;6848272,697
União;2020;6491078,726
União;2021;11159774,04
Comando da Marinha;2012;2308143
Comando da Marinha;2013;2349256,08
Comando da Marinha;2014;2298018,506
Comando da Marinha;2015;1485120,265
Comando da Marinha;2016;1080244,461
Comando da Marinha;2017;1196232,363
Comando da Marinha;2018;1587825,384
Comando da Marinha;2019;1269815,054
Comando da Marinha;2020;903909,9669
Comando da Marinha;2021;1322578,493
Ministério da Ciência e Tecnologia;2012;1800730
Ministério da Ciência e Tecnologia;2013;1786001,86
Ministério da Ciência e Tecnologia;2014;1625591,209
Ministério da Ciência e Tecnologia;2015;1048084,929
Ministério da Ciência e Tecnologia;2016;761402,6226
Ministério da Ciência e Tecnologia;2017;843615,4642
Ministério da Ciência e Tecnologia;2018;1202226,086
Ministério da Ciência e Tecnologia;2019;1018988,011
Ministério da Ciência e Tecnologia;2020;711501,6306
Ministério da Ciência e Tecnologia;2021;929763,9729
Fundo Social;2012;311480
Fundo Social;2013;465055,88
Fundo Social;2014;1295621,198
Fundo Social;2015;1377017,063
Fundo Social;2016;1503093,748
Fundo Social;2017;2277866,38
Fundo Social;2018;3700174,652
Fundo Social;2019;3575452,445
Fundo Social;2020;2935225,335
Fundo Social;2021;5029320,116
Educação e Saúde;2012;0
Educação e Saúde;2013;131,47
Educação e Saúde;2014;33677,93702
Educação e Saúde;2015;43190,79778
Educação e Saúde;2016;41799,96552
Educação e Saúde;2017;115365,3317
Educação e Saúde;2018;321819,5597
Educação e Saúde;2019;984017,1864
Educação e Saúde;2020;1940441,794
Educação e Saúde;2021;3878111,453
